clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c1	1	1	1	1	2	3	2	1	2	1	4	3	1	2	1
c2	1	1	1	2	2	3	3	2	2	1	4	3	3	2	3
c3	1	1	1	1	2	3	2	1	2	1	4	3	1	2	4
c4	1	1	1	2	2	3	3	2	2	1	4	3	3	2	6
c5	1	1	1	1	2	3	2	1	2	1	4	3	1	2	7
c6	1	1	1	1	3	2	2	1	3	2	3	4	1	3	9
c7	1	1	1	2	2	3	3	2	2	1	4	3	3	2	10
c8	1	1	1	2	3	2	3	2	3	2	3	4	3	3	13
c9	1	1	1	2	3	2	3	2	3	2	3	4	3	3	14
c10	1	1	1	2	2	3	3	2	2	1	4	3	3	2	15
c11	1	1	2	2	3	2	3	2	3	2	3	4	3	3	17
c12	1	1	2	1	2	3	4	3	2	1	4	3	4	2	18
c13	1	1	2	3	4	4	5	4	4	3	5	5	5	4	19
c14	1	1	2	3	4	4	5	4	5	4	6	6	6	5	21
c15	1	1	2	3	4	4	5	4	5	5	7	7	7	6	24
c16	1	1	2	3	4	4	5	4	6	6	8	8	8	7	25
c17	1	1	2	3	5	5	6	5	6	6	9	9	9	8	26
c18	1	1	3	3	5	6	7	6	7	7	10	10	10	9	29
c19	1	1	3	3	5	6	7	6	8	8	11	11	11	10	31
c20	2	2	4	4	6	7	8	7	8	8	12	12	12	11	32
c21	2	3	5	4	6	8	9	8	9	9	13	13	13	12	33
c22	3	4	6	5	7	9	10	9	10	10	14	14	14	13	35
c23	4	5	7	6	8	10	11	10	11	11	15	15	15	14	36
c24	4	5	7	7	9	11	12	11	12	12	16	16	16	15	37
c25	4	6	8	8	10	12	13	12	13	13	17	17	17	16	38
c26	5	8	9	8	10	12	13	13	14	14	18	18	18	17	39
c27	5	8	9	9	11	13	14	14	15	15	19	19	19	18	40
c28	5	8	9	10	12	14	15	15	16	16	20	20	20	19	43
c29	5	8	9	10	12	14	15	15	17	17	21	21	21	20	45
c30	5	8	9	10	12	15	16	16	17	18	22	22	22	21	46
c31	5	8	10	10	12	15	17	17	18	19	23	23	23	22	48
c32	5	8	10	10	12	15	17	17	19	20	24	24	24	23	49
c33	6	9	11	11	13	16	18	18	19	21	25	25	25	24	50
c34	6	9	11	11	14	17	19	19	20	22	26	26	26	25	51
c35	7	11	12	12	15	18	20	20	21	23	27	27	27	26	54
c36	7	11	12	12	15	18	20	20	22	24	28	28	28	27	55
c37	7	11	12	14	18	21	25	24	22	24	28	29	29	28	56
c38	7	11	12	14	18	21	25	24	24	26	30	30	30	29	59
c39	7	11	12	15	19	23	26	25	25	27	31	31	31	30	63
c40	7	11	12	15	19	23	26	26	26	28	32	31	32	31	65
c41	7	11	12	13	16	19	24	29	27	30	34	33	33	32	68
c42	5	12	14	14	18	21	30	31	29	35	38	34	34	33	69
c43	5	12	14	14	18	21	32	24	31	34	39	35	34	34	70
c44	1	1	1	17	21	26	25	31	24	26	30	37	37	35	72
c45	5	12	14	17	21	26	32	32	31	34	39	43	38	36	74
c46	5	12	14	2	3	2	33	32	32	36	40	44	39	37	75
c47	5	12	14	17	21	26	33	2	32	36	40	42	42	38	76
c48	1	1	1	17	21	26	3	32	3	2	3	33	45	39	79
c49	7	12	15	17	21	26	33	32	32	36	40	42	47	39	80
c50	7	12	15	2	3	2	33	32	32	36	40	45	49	42	81
c51	7	11	12	19	22	27	33	2	32	36	40	45	36	43	82
c52	5	12	15	19	22	27	3	33	3	2	3	4	49	44	83
c53	7	12	15	14	18	21	34	34	33	37	41	45	50	47	85
c54	5	12	15	13	16	19	35	34	34	38	42	45	50	52	86
c55	5	12	15	19	22	27	35	31	34	38	42	45	3	53	87
c56	7	12	15	20	23	28	24	29	31	34	39	4	50	41	88
c57	5	12	14	19	22	27	35	34	29	35	38	46	50	53	89
c58	5	12	15	20	23	28	36	35	34	38	42	49	50	54	90
c59	5	12	15	20	23	28	35	34	35	39	43	49	3	54	92
c60	5	13	14	19	22	27	36	35	34	38	42	43	51	3	93
c61	7	13	14	20	23	28	36	35	35	39	43	49	53	54	94
c62	7	13	16	17	21	26	35	34	35	39	43	48	53	54	95
c63	7	13	16	20	23	28	36	35	34	38	42	49	49	54	96
c64	7	13	16	20	23	28	33	32	35	39	43	48	45	3	97
c65	7	13	16	20	24	29	36	35	32	36	40	48	53	55	98
c66	7	13	16	21	24	29	36	35	35	39	43	49	54	56	100
