clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c3	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c9	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
c10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c13	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c14	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c15	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c17	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c18	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c21	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c24	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c25	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c26	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c29	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c31	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c35	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c39	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c43	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c45	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c46	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c48	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c49	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c50	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c51	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c55	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c59	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c63	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39
c64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c65	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c68	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c69	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
c70	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c72	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c74	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c75	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c76	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
