clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c1	1	1	1	1	1	1	3	1	1	3	2	2	2	3	2
c2	1	1	1	1	1	4	3	1	4	3	4	3	3	3	3
c3	1	1	1	1	1	4	3	2	4	2	4	3	3	1	4
c4	1	1	1	1	1	3	3	1	3	3	1	1	1	3	5
c5	1	1	1	1	1	1	3	1	1	3	2	2	2	3	7
c6	1	1	1	1	1	4	3	1	4	3	4	3	3	3	8
c7	1	1	1	2	3	1	4	1	1	3	2	2	2	3	10
c8	1	1	1	1	1	1	3	3	1	4	2	2	2	4	11
c9	1	1	1	2	3	4	4	1	4	3	4	3	3	3	14
c10	1	1	1	2	3	4	4	3	4	4	4	3	3	4	15
c11	1	1	2	1	3	4	3	3	4	4	4	3	3	4	17
c12	1	1	2	2	1	4	4	1	4	3	4	3	3	3	18
c13	1	1	2	3	4	5	5	3	5	4	5	4	4	4	19
c14	1	1	2	3	4	5	5	4	5	5	6	5	5	5	21
c15	1	1	2	3	4	5	5	4	6	6	7	6	6	6	24
c16	1	1	2	3	4	5	5	4	6	7	8	7	7	7	25
c17	1	1	2	3	5	6	6	4	7	7	9	8	8	8	26
c18	1	1	3	3	5	7	7	5	8	8	10	9	9	9	29
c19	1	1	3	3	5	7	7	6	8	9	11	10	10	10	31
c20	2	2	4	4	6	8	8	6	9	9	12	11	11	11	32
c21	2	3	5	4	6	9	9	7	10	10	13	12	12	12	33
c22	3	4	6	5	7	10	10	8	11	11	14	13	13	13	35
c23	4	5	7	6	8	11	11	9	12	12	15	14	14	14	36
c24	4	5	7	7	9	12	12	10	13	13	16	15	15	15	37
c25	4	6	8	8	10	13	13	11	14	14	17	16	16	16	38
c26	5	8	9	8	10	13	13	12	15	15	18	17	17	17	39
c27	5	8	9	9	11	14	14	13	16	16	19	18	18	18	40
c28	5	8	9	10	12	15	15	14	17	17	20	19	19	19	43
c29	5	8	9	10	12	15	15	15	17	18	21	20	20	20	45
c30	5	8	9	10	12	16	16	15	18	19	22	21	21	21	46
c31	5	8	10	10	12	16	17	16	19	20	23	22	22	22	48
c32	5	8	10	10	12	16	17	17	19	21	24	23	23	23	49
c33	6	9	11	11	13	17	18	17	20	22	25	24	24	24	50
c34	6	9	11	11	14	18	19	18	21	23	26	25	25	25	51
c35	6	9	11	12	15	19	20	19	22	24	27	26	26	26	55
c36	6	9	11	12	15	19	20	20	22	25	27	27	27	27	58
c37	6	11	14	13	17	20	21	20	24	25	29	28	28	28	60
c38	6	11	14	13	17	20	23	23	26	27	31	29	29	29	62
c39	6	11	14	15	19	21	24	25	27	29	32	29	30	30	63
c40	6	11	14	15	19	21	24	26	28	30	33	31	31	31	65
c41	7	12	15	16	20	22	25	26	29	31	34	33	32	32	66
c42	7	12	15	16	20	22	25	27	29	32	35	34	33	33	68
