clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90
c1	1	1	1	1	1	3	2	1	1
c2	1	1	1	1	1	3	2	3	2
c3	1	1	1	1	1	3	2	4	3
c4	1	1	2	2	2	2	3	5	4
c5	1	1	2	3	3	4	4	5	5
c6	1	1	2	3	3	4	4	6	6
c7	1	1	2	3	4	5	5	7	7
c8	1	1	3	3	4	6	6	8	8
c9	1	1	3	4	5	7	7	9	9
c10	2	2	4	4	5	8	8	10	10
c11	2	3	5	5	6	9	9	11	11
c12	3	4	6	6	7	10	10	12	12
c13	4	5	7	7	8	11	11	13	13
c14	4	5	7	8	9	12	12	14	14
c15	4	6	8	8	9	12	12	15	15
c16	5	7	9	9	10	13	13	16	16
c17	5	7	9	10	11	14	14	17	17
c18	5	8	11	10	11	14	15	18	18
c19	5	8	11	12	12	15	16	19	19
c20	5	8	11	12	12	16	17	20	20
c21	5	8	12	12	12	16	18	21	21
c22	5	8	12	13	13	17	19	22	22
c23	6	9	13	13	13	18	20	23	23
c24	6	9	13	14	14	19	21	24	24
c25	7	11	14	14	14	19	21	25	25
c26	7	11	14	15	15	20	22	26	26
c27	7	11	14	15	15	20	23	27	27
c28	7	11	14	15	16	21	24	28	28
c29	7	11	14	15	16	21	24	29	29
c30	7	11	14	15	16	22	25	30	30
c31	7	12	15	16	17	23	26	31	31
c32	7	13	16	17	18	24	27	32	32
c33	7	13	17	18	19	25	28	33	33
c34	8	14	18	19	20	26	29	35	34
c35	8	14	18	20	22	28	31	37	36
c36	8	14	18	20	21	27	30	36	37
c37	8	14	18	21	24	29	32	37	38
c38	8	14	18	20	24	29	33	38	39
c39	5	7	19	21	24	29	33	38	41
c40	8	14	19	21	26	31	35	40	42
c41	5	7	9	23	25	30	34	39	43
c42	5	7	20	22	26	31	35	40	44
c43	8	15	20	23	27	32	36	41	45
c44	8	15	20	23	28	33	37	42	46
c45	8	15	20	24	28	33	37	42	47
c46	8	15	20	24	28	33	37	43	48
c47	8	15	20	24	29	34	38	44	49
c48	8	15	20	24	30	35	39	45	50
c49	8	15	22	25	30	35	39	45	51
c50	6	17	22	25	30	35	40	46	52
c51	6	17	22	25	31	36	41	47	53
c52	6	17	22	27	31	36	42	48	54
c53	6	17	23	27	31	36	42	48	55
c54	6	17	23	27	33	39	43	49	56
c55	6	17	23	29	31	41	44	50	57
c56	6	17	23	27	32	42	45	51	58
c57	6	17	24	28	34	42	45	52	59
c58	6	17	24	29	33	42	46	53	60
c59	6	17	24	29	34	43	47	54	61
c60	6	17	25	29	33	43	47	54	63
c61	8	16	25	29	35	44	48	55	64
c62	8	16	25	30	35	45	49	58	65
c63	8	17	25	30	36	45	50	57	66
c64	8	16	26	30	37	46	51	58	67
c65	9	16	26	31	37	46	51	59	68
c66	9	18	26	31	38	47	52	60	69
c67	9	18	26	32	38	48	53	61	70
c68	9	18	27	32	39	48	53	62	71
c69	9	18	27	33	39	49	54	62	72
c70	9	19	27	33	39	50	55	63	73
c71	9	19	27	33	40	51	56	64	74
c72	9	19	27	33	41	52	57	65	75
c73	9	19	28	34	41	52	57	66	76
c74	9	19	28	34	42	53	58	67	77
c75	9	19	29	34	42	54	59	68	78
c76	9	19	29	34	42	54	60	69	79
c77	9	19	29	34	43	55	61	70	80
c78	9	19	30	35	43	56	62	71	81
c79	10	19	30	35	44	57	63	72	82
c80	10	20	30	36	44	59	65	73	84
c81	10	20	30	36	45	58	66	74	85
c82	10	20	31	37	48	58	66	75	86
c83	10	20	30	39	46	58	66	76	87
c84	10	20	31	38	46	60	67	77	88
c85	10	20	31	38	46	60	66	78	89
c86	10	20	32	38	49	61	67	76	90
c87	10	21	32	40	49	62	68	78	1
