clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90
c1	25	25	25	25	25	25	25	25	25
c2	2	2	2	2	2	2	2	2	2
c3	66	66	66	66	66	66	66	66	66
c4	5	5	5	5	5	5	5	5	5
c5	3	3	3	3	3	3	3	3	3
c6	3	3	3	3	3	3	3	3	3
c7	9	9	9	9	9	9	9	9	9
c8	3	3	3	3	3	3	3	3	3
c9	3	3	3	3	3	3	3	3	3
c10	1	1	1	1	1	1	1	1	1
c11	1	1	1	1	1	1	1	1	1
c12	2	2	2	2	2	2	2	2	2
c13	1	1	1	1	1	1	1	1	1
c14	1	1	1	1	1	1	1	1	1
c15	1	1	1	1	1	1	1	1	1
c16	57	57	57	57	57	57	57	57	57
c17	1	1	1	1	1	1	1	1	1
c18	8	8	8	8	8	8	8	8	8
c19	3	3	3	3	3	3	3	3	3
c20	6	6	6	6	6	6	6	6	6
c21	3	3	3	3	3	3	3	3	3
c22	1	1	1	1	1	1	1	1	1
c23	8	8	8	8	8	8	8	8	8
c24	3	3	3	3	3	3	3	3	3
c25	36	36	36	36	36	36	36	36	36
c26	1	1	1	1	1	1	1	1	1
c27	8	8	8	8	8	8	8	8	8
c28	3	3	3	3	3	3	3	3	3
c29	4	4	4	4	4	4	4	4	4
c30	1	1	1	1	1	1	1	1	1
c31	2	2	2	2	2	2	2	2	2
c32	1	1	1	1	1	1	1	1	1
c33	1	1	1	1	1	1	1	1	1
c34	39	39	39	39	39	39	39	39	39
c35	0	0	0	0	0	0	0	0	0
c36	40	40	40	40	40	40	40	40	40
c37	21	21	21	21	21	21	21	21	21
c38	2	2	2	2	2	2	2	2	2
c39	2	2	2	2	2	2	2	2	2
c40	0	0	0	0	0	0	0	0	0
c41	37	37	37	37	37	37	37	37	37
c42	39	39	39	39	39	39	39	39	39
c43	2	2	2	2	2	2	2	2	2
c44	21	21	21	21	21	21	21	21	21
c45	2	2	2	2	2	2	2	2	2
c46	11	11	11	11	11	11	11	11	11
c47	2	2	2	2	2	2	2	2	2
c48	18	18	18	18	18	18	18	18	18
c49	1	1	1	1	1	1	1	1	1
c50	5	5	5	5	5	5	5	5	5
c51	51	51	51	51	51	51	51	51	51
c52	7	7	7	7	7	7	7	7	7
c53	2	2	2	2	2	2	2	2	2
c54	34	34	34	34	34	34	34	34	34
c55	6	6	6	6	6	6	6	6	6
c56	9	9	9	9	9	9	9	9	9
c57	4	4	4	4	4	4	4	4	4
c58	3	3	3	3	3	3	3	3	3
c59	2	2	2	2	2	2	2	2	2
c60	3	3	3	3	3	3	3	3	3
c61	5	5	5	5	5	5	5	5	5
c62	0	0	0	0	0	0	0	0	0
c63	35	35	35	35	35	35	35	35	35
c64	45	45	45	45	45	45	45	45	45
c65	4	4	4	4	4	4	4	4	4
c66	1	1	1	1	1	1	1	1	1
c67	3	3	3	3	3	3	3	3	3
c68	2	2	2	2	2	2	2	2	2
c69	2	2	2	2	2	2	2	2	2
c70	8	8	8	8	8	8	8	8	8
c71	6	6	6	6	6	6	6	6	6
c72	2	2	2	2	2	2	2	2	2
c73	5	5	5	5	5	5	5	5	5
c74	2	2	2	2	2	2	2	2	2
c75	11	11	11	11	11	11	11	11	11
c76	3	3	3	3	3	3	3	3	3
c77	2	2	2	2	2	2	2	2	2
c78	2	2	2	2	2	2	2	2	2
c79	1	1	1	1	1	1	1	1	1
c80	1	1	1	1	1	1	1	1	1
c81	3	3	3	3	3	3	3	3	3
c82	18	18	18	18	18	18	18	18	18
c83	0	0	0	0	0	0	0	0	0
c84	1	1	1	1	1	1	1	1	1
c85	7	7	7	7	7	7	7	7	7
c86	15	15	15	15	15	15	15	15	15
c87	42	42	42	42	42	42	42	42	42
c88	4	4	4	4	4	4	4	4	4
c89	3	3	3	3	3	3	3	3	3
c90	2	2	2	2	2	2	2	2	2
