clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c3	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
c4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c5	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
c6	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c7	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c9	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49
c10	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22
c11	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c12	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c13	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c14	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c15	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c16	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c17	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c18	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
c19	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c20	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c21	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c22	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c23	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59
c24	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c25	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c26	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c27	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c28	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c29	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c30	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c31	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
c32	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c33	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
c34	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c35	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c36	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c37	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c38	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
c39	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c40	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56
c41	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c43	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
c44	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c45	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c46	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c47	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
c48	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c49	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c50	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31
c51	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c52	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
c53	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
c54	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
c55	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
c56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c57	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c58	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c59	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c60	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
