clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c1	1	1	2	2	2	3	5	1	1	1	1	1	1	1	1
c2	1	2	3	3	3	4	6	2	2	2	2	2	2	2	2
c3	1	2	3	3	3	4	7	3	3	3	3	3	3	3	3
c4	1	2	3	3	3	4	7	3	3	3	3	3	3	3	4
c5	1	2	3	3	3	4	7	3	3	3	4	4	4	4	5
c6	1	2	3	3	3	4	8	4	4	4	5	5	5	5	6
c7	1	1	2	2	2	3	8	4	4	4	6	6	6	6	7
c8	2	2	3	3	3	4	12	5	5	5	7	7	7	7	8
c9	2	3	4	5	5	6	12	5	5	5	7	7	7	7	9
c10	2	3	4	5	5	6	12	5	5	5	7	8	8	8	10
c11	2	3	4	5	5	7	13	6	6	6	8	9	9	9	11
c12	2	3	5	6	6	8	14	7	7	7	9	10	10	10	12
c13	2	3	5	7	7	9	14	7	7	7	9	11	11	11	13
c14	2	3	5	7	7	9	14	8	8	8	10	12	12	12	14
c15	3	3	5	7	7	9	16	9	9	9	11	13	13	13	15
c16	3	6	8	9	10	11	16	9	9	9	11	13	13	13	16
c17	4	6	8	9	10	11	20	10	10	10	12	14	14	14	17
c18	4	8	9	10	11	12	21	11	11	11	13	15	15	15	18
c19	4	8	9	10	11	12	21	11	11	11	13	16	16	16	19
c20	4	8	9	10	11	12	21	11	11	11	13	16	16	16	20
c21	4	8	9	10	11	12	21	12	12	12	14	17	17	17	21
c22	4	8	9	10	11	12	24	13	13	13	15	18	18	18	22
c23	4	9	11	14	17	13	24	13	13	13	16	19	19	19	23
c24	4	9	11	14	17	17	24	13	14	14	17	20	20	20	24
c25	4	9	11	14	17	17	26	14	15	15	18	21	21	21	25
c26	4	8	9	11	13	17	26	15	16	16	19	22	22	22	26
c27	4	9	10	10	15	14	26	15	16	16	19	22	22	22	27
c28	4	9	10	13	15	19	26	16	17	17	20	23	23	23	28
c29	4	8	9	13	13	19	26	16	17	17	20	23	23	24	29
c30	4	8	9	11	13	14	28	17	18	18	21	24	24	25	30
c31	4	8	9	11	14	14	28	17	19	19	22	25	25	26	31
c32	4	9	10	11	19	15	30	18	20	20	23	26	26	27	32
c33	4	9	10	16	20	20	31	19	21	21	24	27	27	28	33
c34	4	9	10	13	15	19	31	19	21	21	24	27	28	29	34
c35	4	9	10	16	20	20	31	19	21	21	24	27	28	29	35
c36	4	9	10	16	19	20	32	20	22	22	25	28	29	30	36
c37	4	9	10	13	15	19	32	20	22	22	25	28	29	31	37
c38	4	10	12	13	15	19	32	21	23	23	26	29	30	32	38
c39	4	10	12	16	19	20	33	22	24	24	27	30	31	33	39
c40	4	10	12	13	15	19	33	22	24	24	27	30	31	34	40
c41	3	9	10	15	21	21	42	24	26	26	29	31	32	35	41
c42	3	9	10	15	21	21	42	24	27	27	30	32	33	36	42
c43	3	10	12	15	21	21	45	25	28	28	31	33	34	37	43
c44	3	4	15	16	19	20	45	25	28	28	31	33	34	38	44
c45	3	4	15	16	19	20	45	26	29	29	32	34	35	39	45
c46	3	4	7	15	21	21	45	27	30	30	33	35	36	40	46
c47	3	4	7	20	23	23	46	28	31	31	34	36	37	41	47
c48	3	4	7	20	23	23	46	29	32	32	35	37	38	42	48
c49	3	4	15	8	8	10	47	30	33	33	36	38	39	43	49
c50	3	4	7	8	8	10	47	30	33	33	36	39	40	44	50
c51	3	4	15	8	24	24	49	31	34	34	37	40	41	45	51
c52	3	4	15	20	23	23	49	31	34	34	38	41	42	46	52
c53	3	4	7	8	8	10	50	32	35	35	39	42	43	47	53
c54	3	6	7	20	23	23	50	33	36	36	40	43	44	48	54
c55	3	11	7	20	24	24	50	33	37	37	41	44	45	49	55
c56	3	11	8	8	24	24	51	34	38	38	42	46	47	50	56
c57	3	6	14	8	24	24	51	34	38	38	42	45	48	51	57
c58	3	11	14	8	10	11	37	23	25	25	43	47	49	52	58
c59	3	4	8	9	25	25	52	35	39	39	43	47	50	53	59
c60	3	11	14	21	22	22	52	35	39	40	44	48	51	54	60
c61	3	11	15	17	25	25	52	35	40	41	45	49	52	55	61
c62	4	11	14	21	10	11	55	36	41	42	46	50	53	56	62
c63	4	4	14	9	25	25	55	36	41	42	47	51	53	56	63
c64	4	4	14	21	23	23	55	36	41	42	47	51	54	57	64
c65	4	11	15	20	24	24	56	37	42	43	48	52	55	58	65
c66	4	11	15	17	22	22	56	37	42	43	49	53	56	59	66
c67	3	10	14	17	22	22	56	37	43	44	49	54	57	60	67
c68	4	10	15	21	25	25	56	37	43	44	50	55	58	61	68
c69	4	10	14	17	22	22	57	38	44	45	51	56	59	62	69
c70	3	10	16	20	23	23	57	38	44	45	52	57	60	63	70
c71	3	10	16	20	23	23	58	39	45	46	52	58	61	64	71
c72	3	11	12	21	25	25	59	40	46	47	53	59	62	65	72
c73	3	10	16	21	25	25	59	40	46	48	54	60	63	66	73
c74	5	10	16	23	28	27	61	41	47	49	55	61	64	67	74
