clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90
c1	4	4	4	4	4	4	4	4	4
c2	2	2	2	2	2	2	2	2	2
c3	104	104	104	104	104	104	104	104	104
c4	31	31	31	31	31	31	31	31	31
c5	21	21	21	21	21	21	21	21	21
c6	7	7	7	7	7	7	7	7	7
c7	37	37	37	37	37	37	37	37	37
c8	3	3	3	3	3	3	3	3	3
c9	38	38	38	38	38	38	38	38	38
c10	23	23	23	23	23	23	23	23	23
c11	4	4	4	4	4	4	4	4	4
c12	58	58	58	58	58	58	58	58	58
c13	1	1	1	1	1	1	1	1	1
c14	14	14	14	14	14	14	14	14	14
c15	31	31	31	31	31	31	31	31	31
c16	15	15	15	15	15	15	15	15	15
c17	29	29	29	29	29	29	29	29	29
c18	27	27	27	27	27	27	27	27	27
c19	27	27	27	27	27	27	27	27	27
c20	26	26	26	26	26	26	26	26	26
c21	38	38	38	38	38	38	38	38	38
c22	20	20	20	20	20	20	20	20	20
c23	45	45	45	45	45	45	45	45	45
c24	25	25	25	25	25	25	25	25	25
c25	16	16	16	16	16	16	16	16	16
c26	30	30	30	30	30	30	30	30	30
c27	16	16	16	16	16	16	16	16	16
c28	34	34	34	34	34	34	34	34	34
c29	29	29	29	29	29	29	29	29	29
c30	16	16	16	16	16	16	16	16	16
c31	38	38	38	38	38	38	38	38	38
c32	18	18	18	18	18	18	18	18	18
c33	34	34	34	34	34	34	34	34	34
c34	45	45	45	45	45	45	45	45	45
c35	31	31	31	31	31	31	31	31	31
c36	13	13	13	13	13	13	13	13	13
c37	45	45	45	45	45	45	45	45	45
c38	36	36	36	36	36	36	36	36	36
c39	43	43	43	43	43	43	43	43	43
c40	37	37	37	37	37	37	37	37	37
c41	25	25	25	25	25	25	25	25	25
c42	13	13	13	13	13	13	13	13	13
c43	19	19	19	19	19	19	19	19	19
c44	18	18	18	18	18	18	18	18	18
c45	31	31	31	31	31	31	31	31	31
c46	21	21	21	21	21	21	21	21	21
c47	1	1	1	1	1	1	1	1	1
c48	40	40	40	40	40	40	40	40	40
c49	30	30	30	30	30	30	30	30	30
c50	16	16	16	16	16	16	16	16	16
c51	6	6	6	6	6	6	6	6	6
c52	37	37	37	37	37	37	37	37	37
c53	11	11	11	11	11	11	11	11	11
c54	4	4	4	4	4	4	4	4	4
c55	28	28	28	28	28	28	28	28	28
c56	28	28	28	28	28	28	28	28	28
c57	29	29	29	29	29	29	29	29	29
c58	47	47	47	47	47	47	47	47	47
c59	21	21	21	21	21	21	21	21	21
c60	34	34	34	34	34	34	34	34	34
c61	25	25	25	25	25	25	25	25	25
c62	32	32	32	32	32	32	32	32	32
c63	22	22	22	22	22	22	22	22	22
c64	54	54	54	54	54	54	54	54	54
c65	2	2	2	2	2	2	2	2	2
c66	38	38	38	38	38	38	38	38	38
c67	38	38	38	38	38	38	38	38	38
c68	4	4	4	4	4	4	4	4	4
c69	31	31	31	31	31	31	31	31	31
c70	19	19	19	19	19	19	19	19	19
c71	30	30	30	30	30	30	30	30	30
c72	28	28	28	28	28	28	28	28	28
c73	39	39	39	39	39	39	39	39	39
c74	27	27	27	27	27	27	27	27	27
c75	13	13	13	13	13	13	13	13	13
c76	49	49	49	49	49	49	49	49	49
c77	17	17	17	17	17	17	17	17	17
c78	45	45	45	45	45	45	45	45	45
c79	4	4	4	4	4	4	4	4	4
c80	2	2	2	2	2	2	2	2	2
c81	7	7	7	7	7	7	7	7	7
c82	27	27	27	27	27	27	27	27	27
c83	49	49	49	49	49	49	49	49	49
c84	63	63	63	63	63	63	63	63	63
c85	10	10	10	10	10	10	10	10	10
c86	59	59	59	59	59	59	59	59	59
c87	36	36	36	36	36	36	36	36	36
c88	52	52	52	52	52	52	52	52	52
c89	18	18	18	18	18	18	18	18	18
c90	66	66	66	66	66	66	66	66	66
