clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c1	1	1	2	2	3	4	5	1	1	1	1	1	1	1	1
c2	1	2	3	3	4	5	6	2	2	2	2	2	2	2	2
c3	1	2	3	3	4	5	7	3	3	3	3	3	3	3	3
c4	1	2	3	3	4	5	7	3	3	3	3	3	3	3	4
c5	1	2	3	3	4	5	7	3	3	3	4	4	4	4	5
c6	1	2	3	3	4	5	8	4	4	4	5	5	5	5	6
c7	1	1	2	2	3	4	8	4	4	4	6	6	6	6	7
c8	2	2	3	3	4	5	12	5	5	5	7	7	7	7	8
c9	2	3	4	5	6	7	12	5	5	5	7	7	7	7	9
c10	2	3	4	5	6	7	12	5	5	5	7	8	8	8	10
c11	2	3	4	5	6	8	13	6	6	6	8	9	9	9	11
c12	2	3	5	6	7	9	14	7	7	7	9	10	10	10	12
c13	2	3	5	6	8	10	14	7	7	7	9	11	11	11	13
c14	2	3	5	6	8	10	14	8	8	8	10	12	12	12	14
c15	4	3	5	6	8	10	18	9	9	9	11	13	13	13	15
c16	4	8	10	9	10	13	19	10	10	10	12	14	14	14	16
c17	4	8	10	9	10	13	19	10	10	10	12	15	15	15	17
c18	4	8	10	9	10	13	19	10	10	10	12	15	15	15	18
c19	4	8	10	9	10	13	19	11	11	11	13	16	16	16	19
c20	4	8	10	9	10	13	23	12	12	12	14	17	17	17	20
c21	4	8	10	10	11	15	23	13	13	13	15	18	18	18	21
c22	4	9	11	9	10	16	23	13	13	13	15	18	18	18	22
c23	4	9	11	12	13	18	23	14	14	14	16	19	19	19	23
c24	4	8	10	12	13	18	23	14	14	14	16	19	19	20	24
c25	4	8	10	10	11	16	25	15	15	15	17	20	20	21	25
c26	4	8	10	10	11	16	25	15	15	15	18	21	21	22	26
c27	4	9	12	10	12	17	25	15	16	16	19	22	22	23	27
c28	4	9	12	13	14	19	26	16	17	17	20	23	23	24	28
c29	4	9	12	13	14	19	26	16	18	18	21	24	24	25	29
c30	4	9	11	13	14	19	28	17	19	19	22	25	25	26	30
c31	4	9	11	15	16	20	29	18	20	20	23	26	26	27	31
c32	4	9	11	12	13	18	29	18	20	20	23	26	27	28	32
c33	4	9	11	15	16	20	29	18	20	20	23	26	27	28	33
c34	4	9	11	15	16	20	30	19	21	21	24	27	28	29	34
c35	4	9	11	12	13	18	30	19	21	21	24	27	28	30	35
c36	4	10	13	12	13	18	30	20	22	22	25	28	29	31	36
c37	4	10	13	15	16	20	31	21	23	23	26	29	30	32	37
c38	4	10	13	12	13	18	31	21	23	23	26	29	30	33	38
c39	4	9	11	14	17	21	35	22	24	24	27	30	31	34	39
c40	4	9	11	14	17	21	35	22	24	24	27	30	31	34	40
c41	4	10	13	14	17	21	35	22	24	24	28	31	32	35	41
c42	4	10	14	15	16	20	40	24	26	26	30	32	33	36	42
c43	4	10	14	15	16	20	40	24	26	26	30	33	34	37	43
c44	4	10	13	14	17	21	40	24	27	27	31	34	35	38	44
c45	3	10	14	17	19	22	40	24	27	27	32	35	36	39	45
c46	4	10	14	17	19	22	41	25	28	28	33	36	37	40	46
c47	4	10	14	14	17	21	43	26	29	29	34	37	38	41	47
c48	3	11	14	17	19	24	43	26	29	29	34	38	39	42	48
c49	4	10	15	16	20	22	46	27	30	30	35	39	40	43	49
c50	4	10	14	16	20	25	46	27	31	31	36	40	41	44	50
