clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90	clu100	clu110	clu120	clu130	clu140	clu150
c1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c3	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
c4	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c5	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60
c6	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
c7	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c8	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
c9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c11	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7
c12	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
c13	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c14	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c15	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
c16	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c17	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
c18	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12
c19	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c20	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29
c21	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11
c22	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
c23	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26
c24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c25	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56
c26	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
c27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
c28	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31
c29	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c30	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c31	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
c32	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c33	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
c34	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c35	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c36	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20
c37	36	36	36	36	36	36	36	36	36	36	36	36	36	36	36
c38	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c39	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
c40	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c41	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c42	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28
c43	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c44	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
c45	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c46	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13
c47	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
c48	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25
c49	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30
c50	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16
c51	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24
c52	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
c53	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
c54	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37
c55	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31
c56	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
c57	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
c58	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
c59	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21
c60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
