clu10	clu20	clu30	clu40	clu50	clu60	clu70	clu80	clu90
c1	1	1	2	2	3	3	5	1	1
c2	1	2	3	3	4	4	6	2	2
c3	1	2	3	3	4	4	7	3	3
c4	1	2	3	3	4	4	8	4	4
c5	2	1	2	2	3	3	12	5	5
c6	2	3	4	5	6	6	13	6	6
c7	2	3	5	6	7	7	14	7	7
c8	2	3	5	7	8	8	14	8	8
c9	3	3	5	7	8	9	17	9	9
c10	3	4	6	8	9	9	17	10	10
c11	3	4	6	8	9	13	18	11	11
c12	3	4	6	8	9	13	21	12	12
c13	3	5	8	10	12	11	21	12	13
c14	3	5	8	10	12	13	25	13	14
c15	3	5	11	12	15	15	26	14	15
c16	3	5	11	12	15	15	26	14	16
c17	3	5	11	13	16	18	27	15	17
c18	3	4	6	13	15	18	27	16	18
c19	3	5	11	9	10	19	27	17	19
c20	3	4	6	13	16	19	28	18	20
c21	3	4	6	9	10	12	29	19	21
c22	3	5	11	9	10	13	29	20	22
c23	3	6	9	12	11	19	30	21	23
c24	4	6	9	13	16	12	36	22	24
c25	4	5	11	14	15	12	36	23	25
c26	4	6	9	14	17	14	38	24	26
c27	4	8	12	12	17	18	38	24	27
c28	4	8	12	14	15	19	39	25	28
c29	4	8	13	20	17	20	39	26	29
c30	4	8	12	20	22	20	39	27	30
c31	4	8	12	16	23	18	44	28	31
c32	4	8	13	20	22	20	44	28	32
c33	4	8	13	20	22	25	47	29	33
c34	4	8	12	16	18	25	48	30	34
c35	4	9	13	16	23	24	49	31	35
c36	4	9	12	20	22	25	51	32	36
c37	4	9	14	16	18	25	52	33	37
c38	3	9	14	20	22	21	54	34	38
c39	4	9	14	18	24	24	54	34	39
c40	3	9	14	20	24	25	55	35	40
c41	3	9	14	18	20	21	56	36	41
c42	4	6	15	17	26	25	57	37	42
c43	4	9	14	22	20	26	57	38	43
c44	4	6	15	17	24	26	57	38	44
c45	4	6	15	18	20	29	58	39	45
c46	4	10	14	17	26	28	59	40	46
c47	5	10	15	22	24	29	60	41	47
c48	5	9	9	18	20	26	61	42	48
c49	6	8	16	17	26	29	62	43	49
c50	6	8	16	21	26	29	64	44	50
c51	6	10	14	22	27	26	66	45	51
c52	6	11	12	17	20	29	67	46	52
c53	6	12	13	21	27	27	68	47	53
c54	6	13	16	22	17	29	69	48	54
c55	6	13	17	14	28	31	70	49	55
c56	7	13	18	23	28	27	71	50	56
c57	8	13	19	23	24	31	73	51	57
c58	8	14	19	18	22	32	73	51	58
c59	8	13	19	20	23	20	74	52	59
c60	1	14	19	16	23	33	75	53	60
c61	8	14	20	23	28	33	75	53	61
c62	1	15	19	24	29	26	78	54	62
c63	1	17	20	25	30	25	79	55	63
c64	8	17	20	26	31	24	81	56	64
c65	8	17	21	26	31	33	83	57	65
c66	8	1	23	26	31	34	83	57	66
c67	8	17	24	26	31	35	83	57	67
c68	8	1	24	27	32	36	85	58	68
c69	8	1	1	28	33	36	87	59	69
c70	8	17	24	26	31	36	88	60	70
c71	8	17	1	28	33	36	92	61	71
c72	8	17	1	28	34	37	93	62	72
c73	9	17	24	29	35	38	97	63	73
c74	9	16	24	31	36	36	98	64	74
c75	9	16	25	32	37	38	98	65	75
c76	9	16	25	32	37	39	99	66	76
c77	9	16	25	1	1	40	100	67	77
c78	9	18	22	32	37	41	101	68	78
c79	9	18	22	1	1	42	103	69	79
c80	9	16	22	1	1	42	105	70	80
c81	9	19	22	32	2	1	107	71	81
c82	9	19	26	32	37	42	108	72	82
c83	9	19	26	33	37	1	111	73	83
c84	10	19	22	33	38	1	112	74	84
c85	10	19	27	33	38	2	114	75	85
c86	10	19	27	34	39	42	115	76	86
c87	10	19	27	34	38	42	115	78	87
c88	10	20	27	34	40	43	116	79	88
c89	2	19	28	34	40	43	117	80	89
c90	10	20	27	35	40	44	118	81	90
c91	10	20	28	34	40	43	119	1	1
c92	10	20	27	36	42	45	5	2	2
c93	2	21	28	37	43	45	6	3	3
c94	10	21	29	37	40	45	7	4	4
c95	10	21	27	38	44	46	8	5	5
