"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",1,0.416991630873589,0.37483354580136,0.224591049512674,0.104592951392562,-0.0739040847403283,0.304964223626921,0.0794482439868058,0.018231056840394,-0.0917554587411621,0.00349359907421398,-0.273203749543767
"NOS1",0.416991630873589,1,0.456727552470049,0.293249668695745,0.146102896144739,0.00591854572442645,0.374940115305995,-0.116403813779471,0.129796095763609,0.252249641359333,-0.148032816703131,-0.223873796382468
"RET",0.37483354580136,0.456727552470049,1,0.522997443688999,0.66065424022722,0.14880244169471,0.786142811736396,0.0178675670472035,0.339086039360931,-0.0621505480161309,-0.110094808095745,-0.253872075101456
"VIP",0.224591049512674,0.293249668695745,0.522997443688999,1,0.770995114916502,0.140318361594881,0.685015034697142,-0.0501868081056422,0.479902482072875,0.0407902468821308,-0.145093136987251,-0.256933725333416
"GAL",0.104592951392562,0.146102896144739,0.66065424022722,0.770995114916502,1,0.178300120828304,0.732261599484371,0.0750651568819551,0.450404911988039,-0.0550202864656088,-0.173174329414742,-0.243154845235817
"CHAT",-0.0739040847403283,0.00591854572442645,0.14880244169471,0.140318361594881,0.178300120828304,1,0.134502244483203,-0.0813925775877643,0.0559794595363109,0.0433522004738416,-0.0234077036083674,0.0350393714687453
"ETV1",0.304964223626921,0.374940115305995,0.786142811736396,0.685015034697142,0.732261599484371,0.134502244483203,1,0.121865963316297,0.378298586646707,-0.14687536872239,-0.120670896554314,-0.173752641700453
"ETV3",0.0794482439868058,-0.116403813779471,0.0178675670472035,-0.0501868081056422,0.0750651568819551,-0.0813925775877643,0.121865963316297,1,0.0261603741778335,-0.107907669002568,0.120171326870031,-0.0199358916334119
"TBX3",0.018231056840394,0.129796095763609,0.339086039360931,0.479902482072875,0.450404911988039,0.0559794595363109,0.378298586646707,0.0261603741778335,1,-0.165093817557486,-0.188096516567582,-0.159786995836327
"CASZ1",-0.0917554587411621,0.252249641359333,-0.0621505480161309,0.0407902468821308,-0.0550202864656088,0.0433522004738416,-0.14687536872239,-0.107907669002568,-0.165093817557486,1,-0.176572972747393,0.132816785104725
"ZFHX4",0.00349359907421398,-0.148032816703131,-0.110094808095745,-0.145093136987251,-0.173174329414742,-0.0234077036083674,-0.120670896554314,0.120171326870031,-0.188096516567582,-0.176572972747393,1,-0.0252867650358992
"BNC2",-0.273203749543767,-0.223873796382468,-0.253872075101456,-0.256933725333416,-0.243154845235817,0.0350393714687453,-0.173752641700453,-0.0199358916334119,-0.159786995836327,0.132816785104725,-0.0252867650358992,1
