"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",0,1.88759741453546e-21,3.56881537615457e-16,8.31980706889757e-16,1.30689383697813e-17,0.265287215462862,5.08334239102965e-23,0.972401496348625,6.52884790741608e-25,1.23327663749666e-05,0.0954797561705224,1.89923623360584e-15
"NOS1",1.88759741453546e-21,0,8.24163877291205e-26,9.22107950313037e-13,2.02617782986198e-32,0.321289847393212,1.15208622540601e-58,0.299337010740213,7.33506066572774e-32,0.000276791027149318,0.510755011128578,1.5949473376725e-18
"RET",3.56881537615457e-16,8.24163877291205e-26,0,4.83245008089219e-37,3.34816884724162e-55,0.416826376869479,5.84398412998072e-64,0.573461925003559,3.20585085022242e-35,0.020843129362579,0.180569441799125,6.84189445789317e-18
"VIP",8.31980706889757e-16,9.22107950313037e-13,4.83245008089219e-37,0,1.90160708545318e-66,0.271089574648932,3.63420336931183e-96,0.552912023137181,2.24412007944267e-47,2.21685820065339e-06,0.626702439646108,2.61806388965319e-23
"GAL",1.30689383697813e-17,2.02617782986198e-32,3.34816884724162e-55,1.90160708545318e-66,0,0.0219708711798502,1.92539128965816e-96,0.836750008183818,1.48817516486178e-55,6.19978750483444e-08,0.0548374432489071,5.25125027736286e-25
"CHAT",0.265287215462862,0.321289847393212,0.416826376869479,0.271089574648932,0.0219708711798502,0,0.0992392934978771,0.494256861738732,0.646287312940924,0.229744407288151,0.633564364034826,0.2047228982124
"ETV1",5.08334239102965e-23,1.15208622540601e-58,5.84398412998072e-64,3.63420336931183e-96,1.92539128965816e-96,0.0992392934978771,0,0.560274058260598,4.28995931997333e-87,7.08633245570423e-10,0.170877683541234,2.39851035081162e-36
"ETV3",0.972401496348625,0.299337010740213,0.573461925003559,0.552912023137181,0.836750008183818,0.494256861738732,0.560274058260598,0,0.64689651867568,0.368703681063085,0.000637994903368684,0.570937169202042
"TBX3",6.52884790741608e-25,7.33506066572774e-32,3.20585085022242e-35,2.24412007944267e-47,1.48817516486178e-55,0.646287312940924,4.28995931997333e-87,0.64689651867568,0,4.67793362133494e-07,0.0087821214211245,3.89441101633119e-27
"CASZ1",1.23327663749666e-05,0.000276791027149318,0.020843129362579,2.21685820065339e-06,6.19978750483444e-08,0.229744407288151,7.08633245570423e-10,0.368703681063085,4.67793362133494e-07,0,0.342067889443187,2.28773190152728e-11
"ZFHX4",0.0954797561705224,0.510755011128578,0.180569441799125,0.626702439646108,0.0548374432489071,0.633564364034826,0.170877683541234,0.000637994903368684,0.0087821214211245,0.342067889443187,0,0.231958481765709
"BNC2",1.89923623360584e-15,1.5949473376725e-18,6.84189445789317e-18,2.61806388965319e-23,5.25125027736286e-25,0.2047228982124,2.39851035081162e-36,0.570937169202042,3.89441101633119e-27,2.28773190152728e-11,0.231958481765709,0
