"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",1,0.27233744970733,0.147406207438784,0.185470284434686,0.291407118309805,-0.222418712984894,0.199597718686902,0.0380141154847577,0.223857730827844,-0.405669578598165,0.0953654229373759,-0.349325770734589
"NOS1",0.27233744970733,1,0.527807039370781,0.681105466243113,0.747433163693818,-0.0907909332932509,0.645956204483925,0.0286266589889481,0.466635194961098,-0.196202753738641,0.135196033055464,-0.204995195158682
"RET",0.147406207438784,0.527807039370781,1,0.574296012443544,0.613731865037821,0.0396932840906833,0.745823016662828,0.0372803846974767,0.638113579795951,-0.134628840316224,0.282601237995823,-0.305341115804663
"VIP",0.185470284434686,0.681105466243113,0.574296012443544,1,0.728050253519789,-0.0783248407806769,0.714203989723383,0.0294833248231878,0.505771909889649,-0.224497303090399,0.267227816680502,-0.209081995068715
"GAL",0.291407118309805,0.747433163693818,0.613731865037821,0.728050253519789,1,-0.12220787518917,0.710736647141364,0.0310360444843523,0.507218193917188,-0.251690444603056,0.158793413074485,-0.266889513288645
"CHAT",-0.222418712984894,-0.0907909332932509,0.0396932840906833,-0.0783248407806769,-0.12220787518917,1,-0.030880166824102,0.0275102782779757,0.0327296990238559,0.299464604464796,0.034746362156776,0.183946406913761
"ETV1",0.199597718686902,0.645956204483925,0.745823016662828,0.714203989723383,0.710736647141364,-0.030880166824102,1,0.051380919743007,0.67687972887387,-0.238877112152114,0.355620092306279,-0.346955815555819
"ETV3",0.0380141154847577,0.0286266589889481,0.0372803846974767,0.0294833248231878,0.0310360444843523,0.0275102782779757,0.051380919743007,1,0.0786917957414262,-0.0195357177437775,0.0411396806297258,-0.0348437225768905
"TBX3",0.223857730827844,0.466635194961098,0.638113579795951,0.505771909889649,0.507218193917188,0.0327296990238559,0.67687972887387,0.0786917957414262,1,-0.180314053044138,0.351632314589601,-0.368746088494746
"CASZ1",-0.405669578598165,-0.196202753738641,-0.134628840316224,-0.224497303090399,-0.251690444603056,0.299464604464796,-0.238877112152114,-0.0195357177437775,-0.180314053044138,1,-0.126480819656963,0.513308847249501
"ZFHX4",0.0953654229373759,0.135196033055464,0.282601237995823,0.267227816680502,0.158793413074485,0.034746362156776,0.355620092306279,0.0411396806297258,0.351632314589601,-0.126480819656963,1,-0.197364432949671
"BNC2",-0.349325770734589,-0.204995195158682,-0.305341115804663,-0.209081995068715,-0.266889513288645,0.183946406913761,-0.346955815555819,-0.0348437225768905,-0.368746088494746,0.513308847249501,-0.197364432949671,1
