"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",0,2.33573793088707e-43,1.68788864370048e-13,1.33896124629214e-20,1.16090881422107e-49,3.96643175675386e-29,1.14914930555008e-23,0.0585858044419662,1.70828632120358e-29,1.00069222467246e-98,1.99658585430621e-06,5.57177982350677e-72
"NOS1",2.33573793088707e-43,0,1.15038391007578e-177,0,0,6.04611468156547e-06,1.93931930525822e-292,0.15444111412555,4.0286411910802e-134,6.5915604137111e-23,1.42920919116123e-11,6.69517675833969e-25
"RET",1.68788864370048e-13,1.15038391007578e-177,0,2.80429315929483e-217,3.06116184604481e-256,0.0482799792224033,0,0.063630740217693,3.1441471390538e-283,1.74016500890856e-11,1.08966207072783e-46,1.3829093196443e-54
"VIP",1.33896124629214e-20,0,2.80429315929483e-217,0,0,9.56279957420169e-05,0,0.142470970027457,5.98518489901615e-161,1.17256734321133e-29,9.41771528865872e-42,7.37072673383622e-26
"GAL",1.16090881422107e-49,0,3.06116184604481e-256,0,0,1.05537734409711e-09,0,0.122605852214841,5.21419621997944e-162,4.40596916134645e-37,1.89613616347192e-15,1.19954699932778e-41
"CHAT",3.96643175675386e-29,6.04611468156547e-06,0.0482799792224033,9.56279957420169e-05,1.05537734409711e-09,0,0.124496779343986,0.17116711260646,0.103477250592126,1.78127789923302e-52,0.0838793214014683,2.77574970422728e-20
"ETV1",1.14914930555008e-23,1.93931930525822e-292,0,0,0,0.124496779343986,0,0.0105554081118657,0,1.81825706575864e-33,1.03836782829366e-74,5.72397691536259e-71
"ETV3",0.0585858044419662,0.15444111412555,0.063630740217693,0.142470970027457,0.122605852214841,0.17116711260646,0.0105554081118657,0,8.86370722851478e-05,0.33120585661341,0.0406659853204028,0.0830149526153067
"TBX3",1.70828632120358e-29,4.0286411910802e-134,3.1441471390538e-283,5.98518489901615e-161,5.21419621997944e-162,0.103477250592126,0,8.86370722851478e-05,0,1.53830981616783e-19,5.66166008855519e-73,1.32198751836211e-80
"CASZ1",1.00069222467246e-98,6.5915604137111e-23,1.74016500890856e-11,1.17256734321133e-29,4.40596916134645e-37,1.78127789923302e-52,1.81825706575864e-33,0.33120585661341,1.53830981616783e-19,0,2.68744492561555e-10,1.57490250065471e-166
"ZFHX4",1.99658585430621e-06,1.42920919116123e-11,1.08966207072783e-46,9.41771528865872e-42,1.89613616347192e-15,0.0838793214014683,1.03836782829366e-74,0.0406659853204028,5.66166008855519e-73,2.68744492561555e-10,0,3.63884503606755e-23
"BNC2",5.57177982350677e-72,6.69517675833969e-25,1.3829093196443e-54,7.37072673383622e-26,1.19954699932778e-41,2.77574970422728e-20,5.72397691536259e-71,0.0830149526153067,1.32198751836211e-80,1.57490250065471e-166,3.63884503606755e-23,0
