"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",1,0.020365202189895,-0.142362302174789,0.0700071250811216,0.202631575182548,-0.104892284516157,-0.198769960050125,-0.045663942927373,-0.214874925345489,-0.261207332271862,-0.211613894988314,-0.0414625931569921
"NOS1",0.020365202189895,1,0.298590965009608,0.452963087561287,0.295538054489761,0.0839322981847987,0.312110138496352,-0.00772661784558016,0.267410499012568,0.0262206890029244,0.188350326635132,0.0226758450621423
"RET",-0.142362302174789,0.298590965009608,1,0.403975949056063,0.233036988998966,0.27349500120158,0.689083895052536,0.139212462036067,0.655510065844173,0.19737812037721,0.417010792864426,0.0202328400636862
"VIP",0.0700071250811216,0.452963087561287,0.403975949056063,1,0.412066535150893,0.0661050674617144,0.501173606731608,0.0682368604695098,0.41281303135342,-0.193092195534521,0.33338571974175,-0.0247592917305992
"GAL",0.202631575182548,0.295538054489761,0.233036988998966,0.412066535150893,1,-0.0537144872023693,0.0781524848532307,0.0428145255316682,0.0438748374564117,-0.138480373158665,0.0217033845547065,-0.0530811985130245
"CHAT",-0.104892284516157,0.0839322981847987,0.27349500120158,0.0661050674617144,-0.0537144872023693,1,0.315470277363725,0.10264331189264,0.343759272703324,0.188912000850025,0.219641162995833,0.0867785066529458
"ETV1",-0.198769960050125,0.312110138496352,0.689083895052536,0.501173606731608,0.0781524848532307,0.315470277363725,1,0.159533267365996,0.756505890603238,0.280370017162609,0.62627173451392,0.0770165792054846
"ETV3",-0.045663942927373,-0.00772661784558016,0.139212462036067,0.0682368604695098,0.0428145255316682,0.10264331189264,0.159533267365996,1,0.159470020489626,0.0845045854873892,0.0533439954435797,0.0727734316398121
"TBX3",-0.214874925345489,0.267410499012568,0.655510065844173,0.41281303135342,0.0438748374564117,0.343759272703324,0.756505890603238,0.159470020489626,1,0.251932482893925,0.511004138689808,0.0626678025121753
"CASZ1",-0.261207332271862,0.0262206890029244,0.19737812037721,-0.193092195534521,-0.138480373158665,0.188912000850025,0.280370017162609,0.0845045854873892,0.251932482893925,1,0.159105362900245,0.116991531646487
"ZFHX4",-0.211613894988314,0.188350326635132,0.417010792864426,0.33338571974175,0.0217033845547065,0.219641162995833,0.62627173451392,0.0533439954435797,0.511004138689808,0.159105362900245,1,-0.0370206908799186
"BNC2",-0.0414625931569921,0.0226758450621423,0.0202328400636862,-0.0247592917305992,-0.0530811985130245,0.0867785066529458,0.0770165792054846,0.0727734316398121,0.0626678025121753,0.116991531646487,-0.0370206908799186,1
