"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",0,0.704592969943612,0.00773127390529301,0.19197786651482,0.000138124468721572,0.0502389677744426,0.000185957838431534,0.395071555019981,5.18415204422066e-05,7.4818102153297e-07,6.76782851870729e-05,0.440032474369832
"NOS1",0.704592969943612,0,1.28225448643389e-08,4.65329620744814e-19,1.82845120510002e-08,0.117554251463574,2.53324562779538e-09,0.885635162021413,3.97084850840152e-07,0.625429794663698,0.000403527735983305,0.672912422553462
"RET",0.00773127390529301,1.28225448643389e-08,0,3.92747024947978e-15,1.08962326998823e-05,2.09993803395685e-07,1.83193454768848e-50,0.00921252662156258,3.14809344073334e-44,0.000206713560845064,4.08256914883923e-16,0.706423935237964
"VIP",0.19197786651482,4.65329620744814e-19,3.92747024947978e-15,0,9.7480786060659e-16,0.218000665923521,1.35778086345417e-23,0.203487157008065,8.55557177618345e-16,0.000285046115562475,1.66399428801743e-10,0.644832319659111
"GAL",0.000138124468721572,1.82845120510002e-08,1.08962326998823e-05,9.7480786060659e-16,0,0.317024135426332,0.145116300849977,0.425255030262757,0.413869801341624,0.00959098757512899,0.686179122941629,0.322771633575968
"CHAT",0.0502389677744426,0.117554251463574,2.09993803395685e-07,0.218000665923521,0.317024135426332,0,1.67115853560141e-09,0.0554009180500737,4.07950527364224e-11,0.000387418022937329,3.48566310394116e-05,0.105577596100173
"ETV1",0.000185957838431534,2.53324562779538e-09,1.83193454768848e-50,1.35778086345417e-23,0.145116300849977,1.67115853560141e-09,0,0.00280075551473203,5.67780074236828e-66,1.00314050921045e-07,2.05709262236549e-39,0.151070660923236
"ETV3",0.395071555019981,0.885635162021413,0.00921252662156258,0.203487157008065,0.425255030262757,0.0554009180500737,0.00280075551473203,0,0.0028117773035127,0.115064494670716,0.320378421570037,0.174958690792852
"TBX3",5.18415204422066e-05,3.97084850840152e-07,3.14809344073334e-44,8.55557177618345e-16,0.413869801341624,4.07950527364224e-11,5.67780074236828e-66,0.0028117773035127,0,1.87261963628699e-06,1.30805317372206e-24,0.242936227015602
"CASZ1",7.4818102153297e-07,0.625429794663698,0.000206713560845064,0.000285046115562475,0.00959098757512899,0.000387418022937329,1.00314050921045e-07,0.115064494670716,1.87261963628699e-06,0,0.00287609754961441,0.0288704853094923
"ZFHX4",6.76782851870729e-05,0.000403527735983305,4.08256914883923e-16,1.66399428801743e-10,0.686179122941629,3.48566310394116e-05,2.05709262236549e-39,0.320378421570037,1.30805317372206e-24,0.00287609754961441,0,0.490597538310947
"BNC2",0.440032474369832,0.672912422553462,0.706423935237964,0.644832319659111,0.322771633575968,0.105577596100173,0.151070660923236,0.174958690792852,0.242936227015602,0.0288704853094923,0.490597538310947,0
