"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",1,0.426863281326632,0.310153354602918,0.365442280754245,0.271783594040143,-0.173956394916156,0.368399117806148,0.068690788810284,0.433206500483862,-0.0024228551575901,0.507067575923474,-0.119805986206312
"NOS1",0.426863281326632,1,0.353195705113683,0.274268990862586,0.293042547562039,-0.135705203421302,0.463789166410047,0.674435433150857,0.252984089777608,0.365052108581412,0.254501004200072,-0.272567900483941
"RET",0.310153354602918,0.353195705113683,1,0.584500778139529,0.692325526903797,-0.157252035913205,0.692257079774027,0.0490387257857854,0.48111888957719,0.0848848895081368,0.156233692995511,-0.432777285884522
"VIP",0.365442280754245,0.274268990862586,0.584500778139529,1,0.620891613456988,-0.19066438584034,0.676062542577881,-0.211675993115429,0.573399978176252,-0.135921534291938,0.104418351956728,-0.458867597534452
"GAL",0.271783594040143,0.293042547562039,0.692325526903797,0.620891613456988,1,-0.52363884891623,0.780181614673345,-0.0267695411432303,0.602214800216027,-0.0592560271887959,-0.0608175022811419,-0.417393784185433
"CHAT",-0.173956394916156,-0.135705203421302,-0.157252035913205,-0.19066438584034,-0.52363884891623,1,-0.540135150914054,0.936955057790476,-0.347160511645567,0.884338385428421,0.516369548528453,0.281566775509661
"ETV1",0.368399117806148,0.463789166410047,0.692257079774027,0.676062542577881,0.780181614673345,-0.540135150914054,1,0.1461305022939,0.587030339483481,-0.217371159545033,0.0123312372087465,-0.355450763713927
"ETV3",0.068690788810284,0.674435433150857,0.0490387257857854,-0.211675993115429,-0.0267695411432303,0.936955057790476,0.1461305022939,1,-0.0356005766133753,0.432207848706551,0.668417929855745,0.535956748476838
"TBX3",0.433206500483862,0.252984089777608,0.48111888957719,0.573399978176252,0.602214800216027,-0.347160511645567,0.587030339483481,-0.0356005766133753,1,-0.275718837986968,0.115801215534133,-0.185295455751277
"CASZ1",-0.0024228551575901,0.365052108581412,0.0848848895081368,-0.135921534291938,-0.0592560271887959,0.884338385428421,-0.217371159545033,0.432207848706551,-0.275718837986968,1,-0.0576748140510771,0.766978668592935
"ZFHX4",0.507067575923474,0.254501004200072,0.156233692995511,0.104418351956728,-0.0608175022811419,0.516369548528453,0.0123312372087465,0.668417929855745,0.115801215534133,-0.0576748140510771,1,0.301474791496869
"BNC2",-0.119805986206312,-0.272567900483941,-0.432777285884522,-0.458867597534452,-0.417393784185433,0.281566775509661,-0.355450763713927,0.535956748476838,-0.185295455751277,0.766978668592935,0.301474791496869,1
