"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",0,8.74416693452433e-05,0.00432397422718022,0.000292557656137361,0.00650270931623644,0.654434242943937,0.00017555245507822,0.744230668340804,3.91449602830072e-06,0.986817814479687,8.73797339970305e-06,0.280666767206268
"NOS1",8.74416693452433e-05,0,0.0031329486919761,0.0197312634650591,0.00876952755732692,0.74865940185778,1.67154777118326e-05,0.00214135060901796,0.0264281858767766,0.017449560588595,0.0659114460260865,0.0268184672852678
"RET",0.00432397422718022,0.0031329486919761,0,8.14855027090032e-09,2.93952599191075e-14,0.686176966055053,1.11745337258437e-13,0.832817391769281,2.08624074645895e-06,0.579302617063196,0.245825104847804,0.000117621959818441
"VIP",0.000292557656137361,0.0197312634650591,8.14855027090032e-09,0,4.31530862079315e-12,0.651073794107561,3.00241969845615e-14,0.370304663665703,4.51274023938304e-10,0.373319318750086,0.427206713506354,3.05966259626546e-05
"GAL",0.00650270931623644,0.00876952755732692,2.93952599191075e-14,4.31530862079315e-12,0,0.120323489675941,4.01125839546493e-23,0.903497721406452,2.71632541739406e-12,0.689106424871688,0.638664458008203,3.85228350931367e-05
"CHAT",0.654434242943937,0.74865940185778,0.686176966055053,0.651073794107561,0.120323489675941,0,0.1070161643649,0.22726301231577,0.325682778078398,0.00354040093759132,0.294287422704215,0.430624377881808
"ETV1",0.00017555245507822,1.67154777118326e-05,1.11745337258437e-13,3.00241969845615e-14,4.01125839546493e-23,0.1070161643649,0,0.495653077915674,2.43746310480712e-11,0.151471786349686,0.923584264969636,0.000783758068900923
"ETV3",0.744230668340804,0.00214135060901796,0.832817391769281,0.370304663665703,0.903497721406452,0.22726301231577,0.495653077915674,0,0.871885690599588,0.140229465399794,0.00175745105084041,0.0148591122164742
"TBX3",3.91449602830072e-06,0.0264281858767766,2.08624074645895e-06,4.51274023938304e-10,2.71632541739406e-12,0.325682778078398,2.43746310480712e-11,0.871885690599588,0,0.0636414738091835,0.350726889501349,0.0753726765855612
"CASZ1",0.986817814479687,0.017449560588595,0.579302617063196,0.373319318750086,0.689106424871688,0.00354040093759132,0.151471786349686,0.140229465399794,0.0636414738091835,0,0.74208682244239,1.30775693401081e-10
"ZFHX4",8.73797339970305e-06,0.0659114460260865,0.245825104847804,0.427206713506354,0.638664458008203,0.294287422704215,0.923584264969636,0.00175745105084041,0.350726889501349,0.74208682244239,0,0.0214610062588614
"BNC2",0.280666767206268,0.0268184672852678,0.000117621959818441,3.05966259626546e-05,3.85228350931367e-05,0.430624377881808,0.000783758068900923,0.0148591122164742,0.0753726765855612,1.30775693401081e-10,0.0214610062588614,0
