"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",1,0.433320294642673,0.348778630252637,0.220922065021053,0.163759369405812,-0.128334582050069,0.275180649055159,0.0259044531377645,0.0531232081385515,-0.151919756806699,0.0310506282505724,-0.290542372092322
"NOS1",0.433320294642673,1,0.5292392543948,0.2524235720272,0.304155699998925,-0.0460065256499972,0.532784309435117,-0.106649564153821,0.169463841141944,-0.0527175423341581,-0.0770125332298662,-0.259257805427939
"RET",0.348778630252637,0.5292392543948,1,0.46403998265241,0.605810890083905,0.105613004867278,0.707824686315272,0.023618327989224,0.313919323701505,-0.0790283941533847,-0.0531464024084943,-0.258958969941735
"VIP",0.220922065021053,0.2524235720272,0.46403998265241,1,0.784036172614575,-0.00760614540868419,0.688795722475637,-0.0591410737165491,0.494822773261537,-0.108049133065997,-0.0991546869102133,-0.271970842426569
"GAL",0.163759369405812,0.304155699998925,0.605810890083905,0.784036172614575,1,0.0738330043619692,0.660054028310139,0.0413525650794387,0.513255475336619,-0.0905294243096191,-0.111283403394978,-0.282610822172025
"CHAT",-0.128334582050069,-0.0460065256499972,0.105613004867278,-0.00760614540868419,0.0738330043619692,1,-0.022205377672041,-0.0661466489987197,-0.0819558824284308,0.271202077698783,-0.043379850490483,0.0487849222257501
"ETV1",0.275180649055159,0.532784309435117,0.707824686315272,0.688795722475637,0.660054028310139,-0.022205377672041,1,0.0919771183632607,0.407456150164494,-0.206593751671449,-0.130979592580295,-0.220602592365674
"ETV3",0.0259044531377645,-0.106649564153821,0.023618327989224,-0.0591410737165491,0.0413525650794387,-0.0661466489987197,0.0919771183632607,1,-0.0263196939602274,-0.0836368981310806,0.0536180376537612,-0.0481687523384213
"TBX3",0.0531232081385515,0.169463841141944,0.313919323701505,0.494822773261537,0.513255475336619,-0.0819558824284308,0.407456150164494,-0.0263196939602274,1,-0.270529522434625,-0.0907499282555333,-0.163172150134689
"CASZ1",-0.151919756806699,-0.0527175423341581,-0.0790283941533847,-0.108049133065997,-0.0905294243096191,0.271202077698783,-0.206593751671449,-0.0836368981310806,-0.270529522434625,1,-0.147789688605052,0.285731949875577
"ZFHX4",0.0310506282505724,-0.0770125332298662,-0.0531464024084943,-0.0991546869102133,-0.111283403394978,-0.043379850490483,-0.130979592580295,0.0536180376537612,-0.0907499282555333,-0.147789688605052,1,-0.10618494223153
"BNC2",-0.290542372092322,-0.259257805427939,-0.258958969941735,-0.271970842426569,-0.282610822172025,0.0487849222257501,-0.220602592365674,-0.0481687523384213,-0.163172150134689,0.285731949875577,-0.10618494223153,1
