"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",0,1.98957699528521e-05,0.00075440771076497,0.0363953156203042,0.123007280812047,0.228024955904587,0.00866523180765735,0.808503818765556,0.618993285301703,0.152888600570813,0.771414998617755,0.00546958294094762
"NOS1",1.98957699528521e-05,0,8.19039237495132e-08,0.0163846492786517,0.00356229134503826,0.666771345932904,6.46264024462242e-08,0.317077991852948,0.110315962342245,0.621677040126361,0.4706236020634,0.0136059771985133
"RET",0.00075440771076497,8.19039237495132e-08,0,4.09214375044441e-06,2.51026328254097e-10,0.321831338381925,6.16135163212149e-15,0.825122114134378,0.00258656038696538,0.45905232098643,0.618839989784556,0.0137183201281249
"VIP",0.0363953156203042,0.0163846492786517,4.09214375044441e-06,0,6.39263008308811e-20,0.943277908171027,6.20266785565871e-14,0.579781623430635,7.1397495138721e-07,0.310732173612332,0.352470038961775,0.00951007656744548
"GAL",0.123007280812047,0.00356229134503826,2.51026328254097e-10,6.39263008308811e-20,0,0.489191652353262,1.47997311707701e-12,0.698766080641166,2.30633131642972e-07,0.396116925350656,0.296384930970882,0.00695780990218858
"CHAT",0.228024955904587,0.666771345932904,0.321831338381925,0.943277908171027,0.489191652353262,0,0.835432280154405,0.535633539566411,0.442530792520823,0.00972282905144282,0.684760281249376,0.647946345208316
"ETV1",0.00866523180765735,6.46264024462242e-08,6.16135163212149e-15,6.20266785565871e-14,1.47997311707701e-12,0.835432280154405,0,0.388575290925919,6.72408185216312e-05,0.0507420291370174,0.218501992935093,0.0366734965826408
"ETV3",0.808503818765556,0.317077991852948,0.825122114134378,0.579781623430635,0.698766080641166,0.535633539566411,0.388575290925919,0,0.805494210712831,0.43319701621425,0.615726401482199,0.652102679344817
"TBX3",0.618993285301703,0.110315962342245,0.00258656038696538,7.1397495138721e-07,2.30633131642972e-07,0.442530792520823,6.72408185216312e-05,0.805494210712831,0,0.00991236337251994,0.39496265475093,0.124374864082862
"CASZ1",0.152888600570813,0.621677040126361,0.45905232098643,0.310732173612332,0.396116925350656,0.00972282905144282,0.0507420291370174,0.43319701621425,0.00991236337251994,0,0.164497291625729,0.00633415803936476
"ZFHX4",0.771414998617755,0.4706236020634,0.618839989784556,0.352470038961775,0.296384930970882,0.684760281249376,0.218501992935093,0.615726401482199,0.39496265475093,0.164497291625729,0,0.319202982549016
"BNC2",0.00546958294094762,0.0136059771985133,0.0137183201281249,0.00951007656744548,0.00695780990218858,0.647946345208316,0.0366734965826408,0.652102679344817,0.124374864082862,0.00633415803936476,0.319202982549016,0
