"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",0.00633415803936476,0.285731949875577,2.2
"2","BNC2","CHAT",0.647946345208316,0.0487849222257501,0.2
"3","BNC2","ETV1",0.0366734965826408,-0.220602592365674,1.4
"4","BNC2","ETV3",0.652102679344817,-0.0481687523384213,0.2
"5","BNC2","GAL",0.00695780990218858,-0.282610822172025,2.2
"6","BNC2","GFRA1",0.00546958294094762,-0.290542372092322,2.3
"7","BNC2","NOS1",0.0136059771985133,-0.259257805427939,1.9
"8","BNC2","RET",0.0137183201281249,-0.258958969941735,1.9
"9","BNC2","TBX3",0.124374864082862,-0.163172150134689,0.9
"10","BNC2","VIP",0.00951007656744548,-0.271970842426569,2
"11","BNC2","ZFHX4",0.319202982549016,-0.10618494223153,0.5
"12","CASZ1","CHAT",0.00972282905144282,0.271202077698783,2
"13","CASZ1","ETV1",0.0507420291370174,-0.206593751671449,1.3
"14","CASZ1","ETV3",0.43319701621425,-0.0836368981310806,0.4
"15","CASZ1","GAL",0.396116925350656,-0.0905294243096191,0.4
"16","CASZ1","GFRA1",0.152888600570813,-0.151919756806699,0.8
"17","CASZ1","NOS1",0.621677040126361,-0.0527175423341581,0.2
"18","CASZ1","RET",0.45905232098643,-0.0790283941533847,0.3
"19","CASZ1","TBX3",0.00991236337251994,-0.270529522434625,2
"20","CASZ1","VIP",0.310732173612332,-0.108049133065997,0.5
"21","CHAT","GAL",0.489191652353262,0.0738330043619692,0.3
"22","CHAT","GFRA1",0.228024955904587,-0.128334582050069,0.6
"23","CHAT","NOS1",0.666771345932904,-0.0460065256499972,0.2
"24","CHAT","RET",0.321831338381925,0.105613004867278,0.5
"25","CHAT","VIP",0.943277908171027,-0.00760614540868419,0
"26","ETV1","CHAT",0.835432280154405,-0.022205377672041,0.1
"27","ETV1","GAL",1.47997311707701e-12,0.660054028310139,11.8
"28","ETV1","GFRA1",0.00866523180765735,0.275180649055159,2.1
"29","ETV1","NOS1",6.46264024462242e-08,0.532784309435117,7.2
"30","ETV1","RET",6.16135163212149e-15,0.707824686315272,14.2
"31","ETV1","VIP",6.20266785565871e-14,0.688795722475637,13.2
"32","ETV3","CHAT",0.535633539566411,-0.0661466489987197,0.3
"33","ETV3","ETV1",0.388575290925919,0.0919771183632607,0.4
"34","ETV3","GAL",0.698766080641166,0.0413525650794387,0.2
"35","ETV3","GFRA1",0.808503818765556,0.0259044531377645,0.1
"36","ETV3","NOS1",0.317077991852948,-0.106649564153821,0.5
"37","ETV3","RET",0.825122114134378,0.023618327989224,0.1
"38","ETV3","VIP",0.579781623430635,-0.0591410737165491,0.2
"39","GAL","GFRA1",0.123007280812047,0.163759369405812,0.9
"40","GAL","NOS1",0.00356229134503826,0.304155699998925,2.4
"41","GAL","RET",2.51026328254097e-10,0.605810890083905,9.6
"42","GAL","VIP",6.39263008308811e-20,0.784036172614575,19.2
"43","NOS1","GFRA1",1.98957699528521e-05,0.433320294642673,4.7
"44","RET","GFRA1",0.00075440771076497,0.348778630252637,3.1
"45","RET","NOS1",8.19039237495132e-08,0.5292392543948,7.1
"46","TBX3","CHAT",0.442530792520823,-0.0819558824284308,0.4
"47","TBX3","ETV1",6.72408185216312e-05,0.407456150164494,4.2
"48","TBX3","ETV3",0.805494210712831,-0.0263196939602274,0.1
"49","TBX3","GAL",2.30633131642972e-07,0.513255475336619,6.6
"50","TBX3","GFRA1",0.618993285301703,0.0531232081385515,0.2
"51","TBX3","NOS1",0.110315962342245,0.169463841141944,1
"52","TBX3","RET",0.00258656038696538,0.313919323701505,2.6
"53","TBX3","VIP",7.1397495138721e-07,0.494822773261537,6.1
"54","VIP","GFRA1",0.0363953156203042,0.220922065021053,1.4
"55","VIP","NOS1",0.0163846492786517,0.2524235720272,1.8
"56","VIP","RET",4.09214375044441e-06,0.46403998265241,5.4
"57","ZFHX4","CASZ1",0.164497291625729,-0.147789688605052,0.8
"58","ZFHX4","CHAT",0.684760281249376,-0.043379850490483,0.2
"59","ZFHX4","ETV1",0.218501992935093,-0.130979592580295,0.7
"60","ZFHX4","ETV3",0.615726401482199,0.0536180376537612,0.2
"61","ZFHX4","GAL",0.296384930970882,-0.111283403394978,0.5
"62","ZFHX4","GFRA1",0.771414998617755,0.0310506282505724,0.1
"63","ZFHX4","NOS1",0.4706236020634,-0.0770125332298662,0.3
"64","ZFHX4","RET",0.618839989784556,-0.0531464024084943,0.2
"65","ZFHX4","TBX3",0.39496265475093,-0.0907499282555333,0.4
"66","ZFHX4","VIP",0.352470038961775,-0.0991546869102133,0.5
