"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",1.3807293774541e-06,0.738744300408366,5.9
"2","BNC2","CHAT",0.966119908534959,0.0166346863888617,0
"3","BNC2","ETV1",0.0354061763583616,-0.304417009826884,1.5
"4","BNC2","ETV3",0.0264988908073997,0.552381155733947,1.6
"5","BNC2","GAL",0.0013128615086197,-0.446164056764609,2.9
"6","BNC2","GFRA1",0.631425143684789,0.0726365793037881,0.2
"7","BNC2","NOS1",0.187394322389615,-0.221631662640164,0.7
"8","BNC2","RET",0.00399986153280058,-0.434898044171732,2.4
"9","BNC2","TBX3",0.889199728929758,-0.0200022063365951,0.1
"10","BNC2","VIP",0.000696502238011104,-0.502470907538963,3.2
"11","BNC2","ZFHX4",0.0359892103142645,0.341297984777372,1.4
"12","CASZ1","CHAT",0.000588537097544999,0.937266682357891,3.2
"13","CASZ1","ETV1",0.618623857385125,-0.0964666675371721,0.2
"14","CASZ1","ETV3",0.508551708551457,0.211880800214695,0.3
"15","CASZ1","GAL",0.920613144178862,0.0190013938640421,0
"16","CASZ1","GFRA1",0.332060049702996,0.180185397662387,0.5
"17","CASZ1","NOS1",0.00507963990115567,0.506225026533636,2.3
"18","CASZ1","RET",0.631470427652556,0.0912681796686314,0.2
"19","CASZ1","TBX3",0.0872877438800934,-0.317535113038881,1.1
"20","CASZ1","VIP",0.754750948892657,-0.0606208837714197,0.1
"21","CHAT","GAL",0.886185965021635,0.056014588126624,0.1
"22","CHAT","GFRA1",0.998231717416016,-0.000943084603982931,0
"23","CHAT","NOS1",0.467123961304702,0.302073306773017,0.3
"24","CHAT","RET",0.616682046190444,0.194157034832311,0.2
"25","CHAT","VIP",0.721802030163765,0.15063545545017,0.1
"26","ETV1","CHAT",0.255055553573671,0.456914305710683,0.6
"27","ETV1","GAL",3.78069253931036e-14,0.789998498591272,13.4
"28","ETV1","GFRA1",0.00353200571909334,0.367921991526895,2.5
"29","ETV1","NOS1",0.00010731279237263,0.529913721639837,4
"30","ETV1","RET",2.9509467635425e-09,0.708434422710755,8.5
"31","ETV1","VIP",3.26372672453438e-13,0.784340858111705,12.5
"32","ETV3","CHAT",0.133577266594914,0.978067863517864,0.9
"33","ETV3","ETV1",0.598499161875272,0.129055418442221,0.2
"34","ETV3","GAL",0.26587874827665,0.276954435347205,0.6
"35","ETV3","GFRA1",0.334200955110474,0.227742628387255,0.5
"36","ETV3","NOS1",0.000220488038321921,0.851613572221649,3.7
"37","ETV3","RET",0.714729158974893,0.0991989435108443,0.1
"38","ETV3","VIP",0.416521136570262,-0.210885446728443,0.4
"39","GAL","GFRA1",0.0270503826174617,0.287857334446545,1.6
"40","GAL","NOS1",0.0174526043035882,0.341704230530338,1.8
"41","GAL","RET",7.38450675104715e-09,0.695684640000768,8.1
"42","GAL","VIP",9.01230193917283e-10,0.692218327306329,9
"43","NOS1","GFRA1",4.93278249051613e-08,0.692571728666669,7.3
"44","RET","GFRA1",5.83591422054128e-05,0.532182232438191,4.2
"45","RET","NOS1",2.47196006532699e-06,0.649314759196396,5.6
"46","TBX3","CHAT",0.146754679765741,0.562401175158219,0.8
"47","TBX3","ETV1",3.29071070464959e-07,0.587737562082961,6.5
"48","TBX3","ETV3",0.92243060165796,0.0239624983926344,0
"49","TBX3","GAL",3.0006131638872e-06,0.550154260050723,5.5
"50","TBX3","GFRA1",0.00664912099057145,0.335941515268748,2.2
"51","TBX3","NOS1",0.0543819719832904,0.279479861470816,1.3
"52","TBX3","RET",0.000100479309723227,0.508712683655421,4
"53","TBX3","VIP",1.67644747911251e-07,0.619578420047305,6.8
"54","VIP","GFRA1",0.016732117345869,0.313030551906731,1.8
"55","VIP","NOS1",0.107765410484379,0.242982989243518,1
"56","VIP","RET",2.90093894280847e-05,0.559697544864855,4.5
"57","ZFHX4","CASZ1",0.768813696890469,-0.0581512158670429,0.1
"58","ZFHX4","CHAT",0.270226377789688,0.44417666665218,0.6
"59","ZFHX4","ETV1",0.398402444737666,0.132108706190864,0.4
"60","ZFHX4","ETV3",0.00158677185989518,0.70463237176158,2.8
"61","ZFHX4","GAL",0.3903145331569,0.136041585109589,0.4
"62","ZFHX4","GFRA1",1.16993438509021e-06,0.636294449984271,5.9
"63","ZFHX4","NOS1",0.00579734283514801,0.444896311047733,2.2
"64","ZFHX4","RET",0.20776291369586,0.206253254498574,0.7
"65","ZFHX4","TBX3",0.0264180151059064,0.327257585831523,1.6
"66","ZFHX4","VIP",0.616742679220327,0.0805237121078579,0.2
