"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",1,0.482265884928864,0.240844399121417,0.239326939182312,0.398761039264971,-0.161079259649916,0.210383971729894,0.217401723468869,0.343890930812368,-0.725092661890754,0.295653961764174,-0.549933835814316
"NOS1",0.482265884928864,1,0.755690482966523,0.870930481366295,0.93913456234806,0.0727752556966025,0.80271810124828,0.144672840914293,0.71531400016793,-0.420714503896467,0.382629044239253,-0.346243722826745
"RET",0.240844399121417,0.755690482966523,1,0.729614979141462,0.792900192878178,0.338603238082668,0.897445277721897,0.178581202761971,0.885306338907949,-0.228345679203048,0.636215244272603,-0.454364862304834
"VIP",0.239326939182312,0.870930481366295,0.729614979141462,1,0.865687440931614,0.0228324686279312,0.821120078232375,0.064613184523033,0.698490881994645,-0.341213023002446,0.528441163512962,-0.300825840878677
"GAL",0.398761039264971,0.93913456234806,0.792900192878178,0.865687440931614,1,-0.136838024881699,0.816915129746533,0.109774432980262,0.718283475604765,-0.387912331174099,0.385223906791229,-0.330389994356161
"CHAT",-0.161079259649916,0.0727752556966025,0.338603238082668,0.0228324686279312,-0.136838024881699,1,0.132407317213368,0.314773176082373,0.336286441737998,0.499826159344061,0.290464190930559,-0.00185629196081276
"ETV1",0.210383971729894,0.80271810124828,0.897445277721897,0.821120078232375,0.816915129746533,0.132407317213368,1,0.118868533330703,0.849699102365492,-0.346253212676573,0.664471016229978,-0.399830823702991
"ETV3",0.217401723468869,0.144672840914293,0.178581202761971,0.064613184523033,0.109774432980262,0.314773176082373,0.118868533330703,1,0.196984198553435,-0.128654783101455,0.345353235927126,-0.104079670334176
"TBX3",0.343890930812368,0.71531400016793,0.885306338907949,0.698490881994645,0.718283475604765,0.336286441737998,0.849699102365492,0.196984198553435,1,-0.293520798596124,0.727887081564822,-0.528953777805577
"CASZ1",-0.725092661890754,-0.420714503896467,-0.228345679203048,-0.341213023002446,-0.387912331174099,0.499826159344061,-0.346253212676573,-0.128654783101455,-0.293520798596124,1,-0.236193528832158,0.680157297301784
"ZFHX4",0.295653961764174,0.382629044239253,0.636215244272603,0.528441163512962,0.385223906791229,0.290464190930559,0.664471016229978,0.345353235927126,0.727887081564822,-0.236193528832158,1,-0.488830291557848
"BNC2",-0.549933835814316,-0.346243722826745,-0.454364862304834,-0.300825840878677,-0.330389994356161,-0.00185629196081276,-0.399830823702991,-0.104079670334176,-0.528953777805577,0.680157297301784,-0.488830291557848,1
