"","GFRA1","NOS1","RET","VIP","GAL","CHAT","ETV1","ETV3","TBX3","CASZ1","ZFHX4","BNC2"
"GFRA1",0,2.05586806841109e-05,0.00753368881216182,0.00875688653771643,5.38295751812754e-06,0.235628985811976,0.0266703587688188,0.0324311342898733,0.000105202914709607,6.42341202303664e-16,0.00121082149075165,2.37764362836899e-08
"NOS1",2.05586806841109e-05,0,3.03171162530439e-15,1.55125093081713e-24,1.54412868682257e-36,0.630772219111222,2.26743304956346e-17,0.26191070825076,2.69060961120407e-13,0.000662153195953784,0.000704266948344842,0.00672928142098264
"RET",0.00753368881216182,3.03171162530439e-15,0,7.19730550054943e-24,4.73531859875347e-31,0.00387303093091525,1.525611946003e-45,0.0644333851705107,2.11184100141188e-48,0.0169331378010471,4.15848593290641e-16,1.12340260520561e-06
"VIP",0.00875688653771643,1.55125093081713e-24,7.19730550054943e-24,0,3.4325378108943e-41,0.850093219925736,1.62200119289394e-30,0.508480776507772,2.34741010027263e-21,0.000344388453064682,1.44532796397952e-10,0.00223738680805868
"GAL",5.38295751812754e-06,1.54412868682257e-36,4.73531859875347e-31,3.4325378108943e-41,0,0.262211217748125,1.84814746233499e-30,0.2649528555113,5.10480213243048e-23,3.98192094676378e-05,7.74284529990393e-06,0.000739960953571654
"CHAT",0.235628985811976,0.630772219111222,0.00387303093091525,0.850093219925736,0.262211217748125,0,0.321781348948837,0.0161026951453393,0.00413966356960344,1.4275295590209e-05,0.0171039670286415,0.988105203590414
"ETV1",0.0266703587688188,2.26743304956346e-17,1.525611946003e-45,1.62200119289394e-30,1.84814746233499e-30,0.321781348948837,0,0.246187525436,5.43707540441258e-36,0.000674367388487448,1.29273129744878e-16,9.45094320436973e-05
"ETV3",0.0324311342898733,0.26191070825076,0.0644333851705107,0.508480776507772,0.2649528555113,0.0161026951453393,0.246187525436,0,0.039146588019417,0.232241631340574,0.000353237616815672,0.340253408964303
"TBX3",0.000105202914709607,2.69060961120407e-13,2.11184100141188e-48,2.34741010027263e-21,5.10480213243048e-23,0.00413966356960344,5.43707540441258e-36,0.039146588019417,0,0.0019506282657977,6.94874408795925e-23,7.82249185896757e-09
"CASZ1",6.42341202303664e-16,0.000662153195953784,0.0169331378010471,0.000344388453064682,3.98192094676378e-05,1.4275295590209e-05,0.000674367388487448,0.232241631340574,0.0019506282657977,0,0.0179903153022855,2.29235852617323e-13
"ZFHX4",0.00121082149075165,0.000704266948344842,4.15848593290641e-16,1.44532796397952e-10,7.74284529990393e-06,0.0171039670286415,1.29273129744878e-16,0.000353237616815672,6.94874408795925e-23,0.0179903153022855,0,3.77140535631954e-07
"BNC2",2.37764362836899e-08,0.00672928142098264,1.12340260520561e-06,0.00223738680805868,0.000739960953571654,0.988105203590414,9.45094320436973e-05,0.340253408964303,7.82249185896757e-09,2.29235852617323e-13,3.77140535631954e-07,0
