"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",1.3772684123367e-14,0.775111332360609,13.9
"2","BNC2","CHAT",0.314627595993374,0.145123532001867,0.5
"3","BNC2","ETV1",0.000451457329509213,-0.419703174948547,3.3
"4","BNC2","ETV3",0.0433833097429624,-0.253357507845069,1.4
"5","BNC2","GAL",0.00169071198734641,-0.366094841135198,2.8
"6","BNC2","GFRA1",7.13580631160659e-08,-0.609437115752686,7.1
"7","BNC2","NOS1",0.00787530815710312,-0.368068431133459,2.1
"8","BNC2","RET",6.12003123331001e-06,-0.501746901294933,5.2
"9","BNC2","TBX3",1.1501911687958e-07,-0.580043490028033,6.9
"10","BNC2","VIP",0.00351826900615126,-0.341916124610869,2.5
"11","BNC2","ZFHX4",1.52305866885337e-06,-0.531902122653553,5.8
"12","CASZ1","CHAT",8.01871579809605e-07,0.64366022405612,6.1
"13","CASZ1","ETV1",0.0010240259269932,-0.392351599898508,3
"14","CASZ1","ETV3",0.0485985575868444,-0.247539700952634,1.3
"15","CASZ1","GAL",0.000557030004999094,-0.396890208851253,3.3
"16","CASZ1","GFRA1",1.66056824658692e-13,-0.765945529737809,12.8
"17","CASZ1","NOS1",0.00197708689427898,-0.423139899416079,2.7
"18","CASZ1","RET",0.0162002074332101,-0.278685658439652,1.8
"19","CASZ1","TBX3",0.000764865053842153,-0.387742421748499,3.1
"20","CASZ1","VIP",0.00264954388509335,-0.349119482447583,2.6
"21","CHAT","GAL",0.13586225372635,-0.216106241750264,0.9
"22","CHAT","GFRA1",0.0206132124137376,-0.352022744960174,1.7
"23","CHAT","NOS1",0.905444446630815,-0.0199337220500128,0
"24","CHAT","RET",0.0057868318440656,0.381167370275389,2.2
"25","CHAT","VIP",0.932693087721316,-0.0122535097253537,0
"26","ETV1","CHAT",0.232458009994952,0.181624514187819,0.6
"27","ETV1","GAL",3.53823552391433e-22,0.840375469610592,21.5
"28","ETV1","GFRA1",0.00723391174968155,0.318357566217319,2.1
"29","ETV1","NOS1",3.25524998542525e-14,0.815891385652607,13.5
"30","ETV1","RET",3.03823311774676e-29,0.896118087901911,28.5
"31","ETV1","VIP",2.05542182797965e-21,0.837937342161323,20.7
"32","ETV3","CHAT",0.0724121527556537,0.27040464858638,1.1
"33","ETV3","ETV1",0.600174763904976,0.0651937069724833,0.2
"34","ETV3","GAL",0.628210720947534,0.0584579637138739,0.2
"35","ETV3","GFRA1",0.00422692112412267,0.345176563897818,2.4
"36","ETV3","NOS1",0.557352401548507,0.0849821238655109,0.3
"37","ETV3","RET",0.262870739495133,0.134659770196863,0.6
"38","ETV3","VIP",0.844191625076214,0.0239176958008308,0.1
"39","GAL","GFRA1",8.93971839007496e-05,0.431461476572014,4
"40","GAL","NOS1",1.77764372707761e-28,0.947805016915054,27.8
"41","GAL","RET",2.72269517804591e-20,0.80230089354846,19.6
"42","GAL","VIP",3.96844913368485e-27,0.871716035025029,26.4
"43","NOS1","GFRA1",0.000326465235903523,0.479113324619911,3.5
"44","RET","GFRA1",0.00186169646225822,0.351281797891486,2.7
"45","RET","NOS1",1.24862601803607e-11,0.758721389838262,10.9
"46","TBX3","CHAT",0.0261155546199839,0.314514511466168,1.6
"47","TBX3","ETV1",2.97440590305953e-24,0.857798460834701,23.5
"48","TBX3","ETV3",0.201330603955189,0.153467281632086,0.7
"49","TBX3","GAL",2.74736322842257e-15,0.72850116549607,14.6
"50","TBX3","GFRA1",9.84357984941332e-05,0.431770091747548,4
"51","TBX3","NOS1",7.07772837646254e-10,0.712936304674167,9.2
"52","TBX3","RET",7.88969314770856e-32,0.898801755569612,31.1
"53","TBX3","VIP",7.52729178016764e-14,0.704548063251578,13.1
"54","VIP","GFRA1",0.0193657577463581,0.269526178334459,1.7
"55","VIP","NOS1",1.10680683917673e-17,0.863478344647997,17
"56","VIP","RET",2.05903909981135e-16,0.750505025708508,15.7
"57","ZFHX4","CASZ1",0.00331748191096484,-0.339309298599373,2.5
"58","ZFHX4","CHAT",0.00562900291416323,0.382317741174413,2.2
"59","ZFHX4","ETV1",1.81843356491953e-10,0.645170583391474,9.7
"60","ZFHX4","ETV3",0.00501733528526498,0.329496201039036,2.3
"61","ZFHX4","GAL",0.000884407887008254,0.35820060646008,3.1
"62","ZFHX4","GFRA1",0.000663810667865698,0.38431582323929,3.2
"63","ZFHX4","NOS1",0.00582187728823914,0.363982646194295,2.2
"64","ZFHX4","RET",5.96233071533165e-12,0.663696670187349,11.2
"65","ZFHX4","TBX3",3.45931153678829e-16,0.746824506656932,15.5
"66","ZFHX4","VIP",4.40580681680396e-07,0.521086237312904,6.4
