,,,human_Branch AB_150_cluster,,,human_Branch AB_150_cluster_NZ,,,mice_Branch AB_150_cluster,,,mice_Branch AB_150_cluster_NZ,,,human_Branch AB_90_cluster,,,human_Branch AB_90_cluster_NZ,,,mice_Branch AB_90_cluster,,,mice_Branch AB_90_cluster_NZ,
gene1,gene2,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr,,P_Value,Corr
BNC2,CASZ1,,7.72059353780243E-08,0.421642564099643,,1.30775693401081E-10,0.766978668592935,,1.91476489134444E-31,0.776153511476217,,2.29235852617323E-13,0.680157297301784,,0.00649081237149874,0.284923242665811,,1.38609771863541E-06,0.73866668117676,,6.53165377949409E-21,0.796274887582126,,1.3772684123367E-14,0.775111332360609
BNC2,CHAT,,0.731469327249623,0.0282505834567501,,0.430624377881808,0.281566775509661,,4.78550006549964E-06,0.363639301338507,,0.988105203590414,-0.00185629196081276,,0.650107896374044,0.0484642777469456,,0.950741863082936,0.0241913260218473,,0.000414215377532298,0.364395708665283,,0.314627595993374,0.145123532001867
BNC2,ETV1,,0.00299024699628604,-0.240833015591361,,0.000783758068900923,-0.355450763713927,,1.08728935067544E-07,-0.417227904502418,,9.45094320436973E-05,-0.399830823702991,,0.0381612931995436,-0.218927598671746,,0.0384778475116755,-0.299733504343425,,6.90350937184149E-05,-0.406872797912139,,0.000451457329509213,-0.419703174948547
BNC2,ETV3,,0.604635820887968,-0.0426109984000428,,0.0148591122164742,0.535956748476838,,0.0769110287747179,-0.14487882237154,,0.340253408964303,-0.104079670334176,,0.660821322385085,-0.0468813028946974,,0.0224804678202169,0.565331963992424,,0.0977102173902958,-0.175659037873497,,0.0433833097429624,-0.253357507845069
BNC2,GAL,,0.000314392630374721,-0.290263736981074,,3.85228350931367E-05,-0.417393784185433,,2.48849203756021E-05,-0.336921422128362,,0.000739960953571654,-0.330389994356161,,0.00723643070717142,-0.281295668507943,,0.00142621545271864,-0.443201838567568,,0.00221110466279578,-0.318588175769637,,0.00169071198734641,-0.366094841135198
BNC2,GFRA1,,0.00138605067310978,-0.258780869914065,,0.280666767206268,-0.119805986206312,,1.5737070926552E-12,-0.535966533681643,,2.37764362836899E-08,-0.549933835814316,,0.00554248682143473,-0.290111643125742,,0.62356678555856,0.0743095998459479,,1.55826520099664E-08,-0.55325082298356,,7.13580631160659E-08,-0.609437115752686
BNC2,NOS1,,0.0605819769572091,-0.153592803103665,,0.0268184672852678,-0.272567900483941,,0.000569179468982022,-0.278110740682597,,0.00672928142098264,-0.346243722826745,,0.0140807191891802,-0.258009241781377,,0.205249410797277,-0.21316328251419,,0.00650959805350781,-0.284827426013718,,0.00787530815710312,-0.368068431133459
BNC2,RET,,0.00629998024122883,-0.22211101099716,,0.000117621959818441,-0.432777285884522,,4.18964706616226E-08,-0.429370634333975,,1.12340260520561E-06,-0.454364862304834,,0.0141829425467922,-0.257745183852775,,0.00457794823545839,-0.429065820132364,,3.2732195285048E-05,-0.423000338886046,,6.12003123331001E-06,-0.501746901294933
BNC2,TBX3,,0.00100954028779969,-0.265829075575234,,0.0753726765855612,-0.185295455751277,,1.86939894584696E-09,-0.465950761862109,,7.82249185896757E-09,-0.528953777805577,,0.127379135130684,-0.161899331358265,,0.91360925914957,-0.0155764890674997,,1.43095771616979E-07,-0.520726831493127,,1.1501911687958E-07,-0.580043490028033
BNC2,VIP,,0.000380359252650708,-0.286422961580848,,3.05966259626546E-05,-0.458867597534452,,0.000285289588598016,-0.292201813760465,,0.00223738680805868,-0.300825840878677,,0.00982129662886458,-0.270851250422479,,0.000761631809075838,-0.499329132852383,,0.00809143662859631,-0.277521297809899,,0.00351826900615126,-0.341916124610869
BNC2,ZFHX4,,0.341033580199915,-0.07827613835581,,0.0214610062588614,0.301474791496869,,1.16442435605733E-07,-0.416336513636831,,3.77140535631954E-07,-0.488830291557848,,0.318530893676838,-0.106331676269506,,0.0334285712929254,0.345854499003264,,2.97893175191127E-05,-0.424979133761027,,1.52305866885337E-06,-0.531902122653553
CASZ1,CHAT,,0.726584560891517,0.028785518970684,,0.00354040093759132,0.884338385428421,,3.41938964039187E-15,0.585816016872699,,1.4275295590209E-05,0.499826159344061,,0.00974776154698692,0.271112953237526,,0.000559008359015616,0.938350995767426,,4.99952174800288E-09,0.568673420522973,,8.01871579809605E-07,0.64366022405612
CASZ1,ETV1,,0.0154794024231018,-0.197373453765662,,0.151471786349686,-0.217371159545033,,3.61516918506781E-05,-0.330514232842581,,0.000674367388487448,-0.346253212676573,,0.0524724938041131,-0.205101759128848,,0.683922602856714,-0.0789543692316542,,0.000734382046199313,-0.349496717469129,,0.0010240259269932,-0.392351599898508
CASZ1,ETV3,,0.450140393756608,-0.0621203507998123,,0.140229465399794,0.432207848706551,,0.122351042302473,-0.126698082282754,,0.232241631340574,-0.128654783101455,,0.449058458033954,-0.080792075611421,,0.396596339254863,0.269693727623287,,0.205138787573257,-0.134832320106474,,0.0485985575868444,-0.247539700952634
CASZ1,GAL,,0.0654480987037359,-0.150813892207156,,0.689106424871688,-0.0592560271887959,,1.56145183697599E-05,-0.344723901711235,,3.98192094676378E-05,-0.387912331174099,,0.404904785605053,-0.0888629836586257,,0.892156993416624,0.0258467386598464,,0.000777540151578755,-0.347970479294031,,0.000557030004999094,-0.396890208851253
CASZ1,GFRA1,,0.0438921697501775,-0.164785737579384,,0.986817814479687,-0.0024228551575901,,3.49803058341196E-20,-0.660875455474896,,6.42341202303664E-16,-0.725092661890754,,0.155017833061467,-0.151145145995682,,0.320567671397265,0.184443384951316,,6.51282211074203E-14,-0.688377333175734,,1.66056824658692E-13,-0.765945529737809
CASZ1,NOS1,,0.496989278693101,-0.0558833955860641,,0.017449560588595,0.365052108581412,,0.00117620361298742,-0.26245521158964,,0.000662153195953784,-0.420714503896467,,0.629391052561651,-0.0515556513748545,,0.00430858370428546,0.514367413984292,,0.0126630716039321,-0.261854154877001,,0.00197708689427898,-0.423139899416079
CASZ1,RET,,0.223407912219637,-0.0999969194039215,,0.579302617063196,0.0848848895081368,,0.00221095574390877,-0.248032933368796,,0.0169331378010471,-0.228345679203048,,0.471296681765872,-0.076896110339774,,0.590441941991044,0.102351020074005,,0.0109191852049739,-0.267134954005076,,0.0162002074332101,-0.278685658439652
