"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",0.00649081237149874,0.284923242665811,2.2
"2","BNC2","CHAT",0.650107896374044,0.0484642777469456,0.2
"3","BNC2","ETV1",0.0381612931995436,-0.218927598671746,1.4
"4","BNC2","ETV3",0.660821322385085,-0.0468813028946974,0.2
"5","BNC2","GAL",0.00723643070717142,-0.281295668507943,2.1
"6","BNC2","GFRA1",0.00554248682143473,-0.290111643125742,2.3
"7","BNC2","NOS1",0.0140807191891802,-0.258009241781377,1.9
"8","BNC2","RET",0.0141829425467922,-0.257745183852775,1.8
"9","BNC2","TBX3",0.127379135130684,-0.161899331358265,0.9
"10","BNC2","VIP",0.00982129662886458,-0.270851250422479,2
"11","BNC2","ZFHX4",0.318530893676838,-0.106331676269506,0.5
"12","CASZ1","CHAT",0.00974776154698692,0.271112953237526,2
"13","CASZ1","ETV1",0.0524724938041131,-0.205101759128848,1.3
"14","CASZ1","ETV3",0.449058458033954,-0.080792075611421,0.3
"15","CASZ1","GAL",0.404904785605053,-0.0888629836586257,0.4
"16","CASZ1","GFRA1",0.155017833061467,-0.151145145995682,0.8
"17","CASZ1","NOS1",0.629391052561651,-0.0515556513748545,0.2
"18","CASZ1","RET",0.471296681765872,-0.076896110339774,0.3
"19","CASZ1","TBX3",0.0101401228596077,-0.269736062944835,2
"20","CASZ1","VIP",0.315289264315711,-0.107042221378629,0.5
"21","CHAT","GAL",0.489116667916315,0.0738457136444781,0.3
"22","CHAT","GFRA1",0.226971365346059,-0.128623354993691,0.6
"23","CHAT","NOS1",0.663698805579703,-0.0464578704750455,0.2
"24","CHAT","RET",0.31835376102697,0.10637038198732,0.5
"25","CHAT","VIP",0.945494734805101,-0.00730841528276923,0
"26","ETV1","CHAT",0.834829943518621,-0.0222878173415046,0.1
"27","ETV1","GAL",1.54903616149334e-12,0.659616673048796,11.8
"28","ETV1","GFRA1",0.00871435375420914,0.274986656530018,2.1
"29","ETV1","NOS1",6.16860943219739e-08,0.533476295080888,7.2
"30","ETV1","RET",7.53585791810384e-15,0.706223437575428,14.1
"31","ETV1","VIP",7.15598746764217e-14,0.687567808663875,13.1
"32","ETV3","CHAT",0.533230880338682,-0.0665357982804389,0.3
"33","ETV3","ETV1",0.390183726812715,0.0916669659766343,0.4
"34","ETV3","GAL",0.693721611854611,0.0420810090602532,0.2
"35","ETV3","GFRA1",0.810384019633719,0.0256452339110126,0.1
"36","ETV3","NOS1",0.329763784859807,-0.103904813756922,0.5
"37","ETV3","RET",0.82378600922995,0.0238017258121086,0.1
"38","ETV3","VIP",0.567692293752277,-0.0610334389285174,0.2
"39","GAL","GFRA1",0.123323551870078,0.163623123910774,0.9
"40","GAL","NOS1",0.00345156383538785,0.305133468364747,2.5
"41","GAL","RET",2.79776501353358e-10,0.604544023817444,9.6
"42","GAL","VIP",7.89094122295813e-20,0.782864698926513,19.1
"43","NOS1","GFRA1",1.98399468123903e-05,0.433377595128474,4.7
"44","RET","GFRA1",0.000752798340448635,0.348835692739993,3.1
"45","RET","NOS1",8.5801285857428e-08,0.528538886999381,7.1
"46","TBX3","CHAT",0.443870187669212,-0.0817163034287266,0.4
"47","TBX3","ETV1",7.11261617867906e-05,0.406210481712804,4.1
"48","TBX3","ETV3",0.799579182705236,-0.0271369462662818,0.1
"49","TBX3","GAL",2.45971249114149e-07,0.512233820610069,6.6
"50","TBX3","GFRA1",0.62147823623175,0.0527475670317541,0.2
"51","TBX3","NOS1",0.110719436574079,0.169274866826884,1
"52","TBX3","RET",0.00278044529165666,0.311742532910024,2.6
"53","TBX3","VIP",7.63506346965604e-07,0.49369395276455,6.1
"54","VIP","GFRA1",0.0370948857553514,0.220122497345767,1.4
"55","VIP","NOS1",0.0167466434940086,0.251608575952015,1.8
"56","VIP","RET",4.51747245489084e-06,0.462203808503904,5.3
"57","ZFHX4","CASZ1",0.164569959785703,-0.147764527246493,0.8
"58","ZFHX4","CHAT",0.685187849924053,-0.0433177373972494,0.2
"59","ZFHX4","ETV1",0.217736144738817,-0.131195809347984,0.7
"60","ZFHX4","ETV3",0.619326209384568,0.0530728437813635,0.2
"61","ZFHX4","GAL",0.295763290476162,-0.111425833682951,0.5
"62","ZFHX4","GFRA1",0.773053722266217,0.0308218370505812,0.1
"63","ZFHX4","NOS1",0.470551356317942,-0.0770250349740503,0.3
"64","ZFHX4","RET",0.618713501618765,-0.0531655424679185,0.2
"65","ZFHX4","TBX3",0.394256748188741,-0.0908849685398881,0.4
"66","ZFHX4","VIP",0.350417739042899,-0.0995759886562088,0.5
