"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",7.72059353780243e-08,0.421642564099643,7.1
"2","BNC2","CHAT",0.731469327249623,0.0282505834567501,0.1
"3","BNC2","ETV1",0.00299024699628604,-0.240833015591361,2.5
"4","BNC2","ETV3",0.604635820887968,-0.0426109984000428,0.2
"5","BNC2","GAL",0.000314392630374721,-0.290263736981074,3.5
"6","BNC2","GFRA1",0.00138605067310978,-0.258780869914065,2.9
"7","BNC2","NOS1",0.0605819769572091,-0.153592803103665,1.2
"8","BNC2","RET",0.00629998024122883,-0.22211101099716,2.2
"9","BNC2","TBX3",0.00100954028779969,-0.265829075575234,3
"10","BNC2","VIP",0.000380359252650708,-0.286422961580848,3.4
"11","BNC2","ZFHX4",0.341033580199915,-0.07827613835581,0.5
"12","CASZ1","CHAT",0.726584560891517,0.028785518970684,0.1
"13","CASZ1","ETV1",0.0154794024231018,-0.197373453765662,1.8
"14","CASZ1","ETV3",0.450140393756608,-0.0621203507998123,0.3
"15","CASZ1","GAL",0.0654480987037359,-0.150813892207156,1.2
"16","CASZ1","GFRA1",0.0438921697501775,-0.164785737579384,1.4
"17","CASZ1","NOS1",0.496989278693101,-0.0558833955860641,0.3
"18","CASZ1","RET",0.223407912219637,-0.0999969194039215,0.7
"19","CASZ1","TBX3",0.00114700167639653,-0.263013343510782,2.9
"20","CASZ1","VIP",0.115838882204793,-0.128934677546389,0.9
"21","CHAT","GAL",0.69688353319125,0.0320651147676348,0.2
"22","CHAT","GFRA1",0.714971283002207,-0.0300621955352594,0.1
"23","CHAT","NOS1",0.759115414708692,-0.0252444550302463,0.1
"24","CHAT","RET",0.604482588426167,0.0426290557566395,0.2
"25","CHAT","VIP",0.831426942400107,-0.0175261911375746,0.1
"26","ETV1","CHAT",0.918540339632441,0.00842081528650184,0
"27","ETV1","GAL",1.95114014170083e-29,0.759538663862705,28.7
"28","ETV1","GFRA1",0.00334402120299662,0.238113107079568,2.5
"29","ETV1","NOS1",3.73167445643692e-09,0.45818364318053,8.4
"30","ETV1","RET",9.52492675463103e-15,0.578048338838415,14
"31","ETV1","VIP",8.79416851750578e-22,0.681096866537839,21.1
"32","ETV3","CHAT",0.505825366311658,-0.0547429576312496,0.3
"33","ETV3","ETV1",0.335559529221834,0.0791654385520172,0.5
"34","ETV3","GAL",0.918912838505209,-0.00838217631817953,0
"35","ETV3","GFRA1",0.605519340030171,0.0425069215427368,0.2
"36","ETV3","NOS1",0.71541782160456,-0.0300129757975197,0.1
"37","ETV3","RET",0.960551016035023,0.00407261874572531,0
"38","ETV3","VIP",0.293468526718896,-0.0863384510191105,0.5
"39","GAL","GFRA1",0.132505004080532,0.123387658620397,0.9
"40","GAL","NOS1",3.59149789766398e-06,0.36805375920837,5.4
"41","GAL","RET",1.14471476647361e-20,0.66717741270723,19.9
"42","GAL","VIP",7.43599263871361e-26,0.726159126090484,25.1
"43","NOS1","GFRA1",0.00153229541814263,0.256509825459974,2.8
"44","RET","GFRA1",0.310267163646402,0.0834000193308046,0.5
"45","RET","NOS1",0.00668433613792165,0.220559277753254,2.2
"46","TBX3","CHAT",0.889681865827841,0.0114205295056937,0.1
"47","TBX3","ETV1",9.04943120027226e-11,0.497856966726171,10
"48","TBX3","ETV3",0.598482759142938,-0.0433377047708227,0.2
"49","TBX3","GAL",5.86992259647818e-12,0.524096789666398,11.2
"50","TBX3","GFRA1",0.0562560327589328,0.156221476742521,1.2
"51","TBX3","NOS1",0.00552616288565902,0.225509652401059,2.3
"52","TBX3","RET",0.000105574472887829,0.311290536485391,4
"53","TBX3","VIP",1.99209693288464e-10,0.489853731290617,9.7
"54","VIP","GFRA1",0.000329604091019599,0.289316023556276,3.5
"55","VIP","NOS1",3.6975270332186e-05,0.330123195613981,4.4
"56","VIP","RET",2.80999593440723e-09,0.46139466829224,8.6
"57","ZFHX4","CASZ1",0.135887444196905,-0.122328228334159,0.9
"58","ZFHX4","CHAT",0.524199162665672,-0.0524041531210352,0.3
"59","ZFHX4","ETV1",0.584989704807702,-0.044943198273154,0.2
"60","ZFHX4","ETV3",0.179995683818227,0.110061099759768,0.7
"61","ZFHX4","GAL",0.137104185978848,-0.121952058841843,0.9
"62","ZFHX4","GFRA1",0.0771971570532489,0.144740112204131,1.1
"63","ZFHX4","NOS1",0.920792817596392,-0.00818719550561501,0
"64","ZFHX4","RET",0.484377283129321,-0.0575298956512013,0.3
"65","ZFHX4","TBX3",0.560109786714363,-0.0479492356967843,0.3
"66","ZFHX4","VIP",0.677857655065227,-0.0341924290465243,0.2
