"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",2.29235852617323e-13,0.680157297301784,12.6
"2","BNC2","CHAT",0.988105203590414,-0.00185629196081276,0
"3","BNC2","ETV1",9.45094320436973e-05,-0.399830823702991,4
"4","BNC2","ETV3",0.340253408964303,-0.104079670334176,0.5
"5","BNC2","GAL",0.000739960953571654,-0.330389994356161,3.1
"6","BNC2","GFRA1",2.37764362836899e-08,-0.549933835814316,7.6
"7","BNC2","NOS1",0.00672928142098264,-0.346243722826745,2.2
"8","BNC2","RET",1.12340260520561e-06,-0.454364862304834,5.9
"9","BNC2","TBX3",7.82249185896757e-09,-0.528953777805577,8.1
"10","BNC2","VIP",0.00223738680805868,-0.300825840878677,2.7
"11","BNC2","ZFHX4",3.77140535631954e-07,-0.488830291557848,6.4
"12","CASZ1","CHAT",1.4275295590209e-05,0.499826159344061,4.8
"13","CASZ1","ETV1",0.000674367388487448,-0.346253212676573,3.2
"14","CASZ1","ETV3",0.232241631340574,-0.128654783101455,0.6
"15","CASZ1","GAL",3.98192094676378e-05,-0.387912331174099,4.4
"16","CASZ1","GFRA1",6.42341202303664e-16,-0.725092661890754,15.2
"17","CASZ1","NOS1",0.000662153195953784,-0.420714503896467,3.2
"18","CASZ1","RET",0.0169331378010471,-0.228345679203048,1.8
"19","CASZ1","TBX3",0.0019506282657977,-0.293520798596124,2.7
"20","CASZ1","VIP",0.000344388453064682,-0.341213023002446,3.5
"21","CHAT","GAL",0.262211217748125,-0.136838024881699,0.6
"22","CHAT","GFRA1",0.235628985811976,-0.161079259649916,0.6
"23","CHAT","NOS1",0.630772219111222,0.0727752556966025,0.2
"24","CHAT","RET",0.00387303093091525,0.338603238082668,2.4
"25","CHAT","VIP",0.850093219925736,0.0228324686279312,0.1
"26","ETV1","CHAT",0.321781348948837,0.132407317213368,0.5
"27","ETV1","GAL",1.84814746233499e-30,0.816915129746533,29.7
"28","ETV1","GFRA1",0.0266703587688188,0.210383971729894,1.6
"29","ETV1","NOS1",2.26743304956346e-17,0.80271810124828,16.6
"30","ETV1","RET",1.525611946003e-45,0.897445277721897,44.8
"31","ETV1","VIP",1.62200119289394e-30,0.821120078232375,29.8
"32","ETV3","CHAT",0.0161026951453393,0.314773176082373,1.8
"33","ETV3","ETV1",0.246187525436,0.118868533330703,0.6
"34","ETV3","GAL",0.2649528555113,0.109774432980262,0.6
"35","ETV3","GFRA1",0.0324311342898733,0.217401723468869,1.5
"36","ETV3","NOS1",0.26191070825076,0.144672840914293,0.6
"37","ETV3","RET",0.0644333851705107,0.178581202761971,1.2
"38","ETV3","VIP",0.508480776507772,0.064613184523033,0.3
"39","GAL","GFRA1",5.38295751812754e-06,0.398761039264971,5.3
"40","GAL","NOS1",1.54412868682257e-36,0.93913456234806,35.8
"41","GAL","RET",4.73531859875347e-31,0.792900192878178,30.3
"42","GAL","VIP",3.4325378108943e-41,0.865687440931614,40.5
"43","NOS1","GFRA1",2.05586806841109e-05,0.482265884928864,4.7
"44","RET","GFRA1",0.00753368881216182,0.240844399121417,2.1
"45","RET","NOS1",3.03171162530439e-15,0.755690482966523,14.5
"46","TBX3","CHAT",0.00413966356960344,0.336286441737998,2.4
"47","TBX3","ETV1",5.43707540441258e-36,0.849699102365492,35.3
"48","TBX3","ETV3",0.039146588019417,0.196984198553435,1.4
"49","TBX3","GAL",5.10480213243048e-23,0.718283475604765,22.3
"50","TBX3","GFRA1",0.000105202914709607,0.343890930812368,4
"51","TBX3","NOS1",2.69060961120407e-13,0.71531400016793,12.6
"52","TBX3","RET",2.11184100141188e-48,0.885306338907949,47.7
"53","TBX3","VIP",2.34741010027263e-21,0.698490881994645,20.6
"54","VIP","GFRA1",0.00875688653771643,0.239326939182312,2.1
"55","VIP","NOS1",1.55125093081713e-24,0.870930481366295,23.8
"56","VIP","RET",7.19730550054943e-24,0.729614979141462,23.1
"57","ZFHX4","CASZ1",0.0179903153022855,-0.236193528832158,1.7
"58","ZFHX4","CHAT",0.0171039670286415,0.290464190930559,1.8
"59","ZFHX4","ETV1",1.29273129744878e-16,0.664471016229978,15.9
"60","ZFHX4","ETV3",0.000353237616815672,0.345353235927126,3.5
"61","ZFHX4","GAL",7.74284529990393e-06,0.385223906791229,5.1
"62","ZFHX4","GFRA1",0.00121082149075165,0.295653961764174,2.9
"63","ZFHX4","NOS1",0.000704266948344842,0.382629044239253,3.2
"64","ZFHX4","RET",4.15848593290641e-16,0.636215244272603,15.4
"65","ZFHX4","TBX3",6.94874408795925e-23,0.727887081564822,22.2
"66","ZFHX4","VIP",1.44532796397952e-10,0.528441163512962,9.8
