"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",6.53165377949409e-21,0.796274887582126,20.2
"2","BNC2","CHAT",0.000414215377532298,0.364395708665283,3.4
"3","BNC2","ETV1",6.90350937184149e-05,-0.406872797912139,4.2
"4","BNC2","ETV3",0.0977102173902958,-0.175659037873497,1
"5","BNC2","GAL",0.00221110466279578,-0.318588175769637,2.7
"6","BNC2","GFRA1",1.55826520099664e-08,-0.55325082298356,7.8
"7","BNC2","NOS1",0.00650959805350781,-0.284827426013718,2.2
"8","BNC2","RET",3.2732195285048e-05,-0.423000338886046,4.5
"9","BNC2","TBX3",1.43095771616979e-07,-0.520726831493127,6.8
"10","BNC2","VIP",0.00809143662859631,-0.277521297809899,2.1
"11","BNC2","ZFHX4",2.97893175191127e-05,-0.424979133761027,4.5
"12","CASZ1","CHAT",4.99952174800288e-09,0.568673420522973,8.3
"13","CASZ1","ETV1",0.000734382046199313,-0.349496717469129,3.1
"14","CASZ1","ETV3",0.205138787573257,-0.134832320106474,0.7
"15","CASZ1","GAL",0.000777540151578755,-0.347970479294031,3.1
"16","CASZ1","GFRA1",6.51282211074203e-14,-0.688377333175734,13.2
"17","CASZ1","NOS1",0.0126630716039321,-0.261854154877001,1.9
"18","CASZ1","RET",0.0109191852049739,-0.267134954005076,2
"19","CASZ1","TBX3",0.000355114379619161,-0.368281223525445,3.4
"20","CASZ1","VIP",0.00944260782509147,-0.272217783985945,2
"21","CHAT","GAL",0.0144717717122828,-0.257007914389323,1.8
"22","CHAT","GFRA1",3.52785764546488e-08,-0.541661382201009,7.5
"23","CHAT","NOS1",0.0860357433573882,-0.181984554661946,1.1
"24","CHAT","RET",0.473501318453092,0.0765154027719612,0.3
"25","CHAT","VIP",0.124626044790049,-0.163064835847132,0.9
"26","ETV1","CHAT",0.763692213539622,-0.0321307533849239,0.1
"27","ETV1","GAL",8.64305271379965e-23,0.817387900869937,22.1
"28","ETV1","GFRA1",0.00431255381335315,0.298166577830905,2.4
"29","ETV1","NOS1",1.69499402852987e-17,0.750356769151233,16.8
"30","ETV1","RET",1.31207193125587e-31,0.889053838130443,30.9
"31","ETV1","VIP",1.62665978171191e-22,0.814460215987475,21.8
"32","ETV3","CHAT",0.735432505193715,-0.0361117991902154,0.1
"33","ETV3","ETV1",0.62412856735838,0.0523476320103181,0.2
"34","ETV3","GAL",0.435973331228226,0.0831347597646869,0.4
"35","ETV3","GFRA1",0.0077466324985353,0.278999063864672,2.1
"36","ETV3","NOS1",0.293066582821042,0.112045996088235,0.5
"37","ETV3","RET",0.788816014189423,0.0286280907404638,0.1
"38","ETV3","VIP",0.489066037800982,0.0738542956410674,0.3
"39","GAL","GFRA1",7.3573037047976e-06,0.452988285063471,5.1
"40","GAL","NOS1",6.8962858481051e-38,0.921409937376322,37.2
"41","GAL","RET",9.96674911036547e-19,0.768165614329449,18
"42","GAL","VIP",9.24475401046109e-29,0.869971232790968,28
"43","NOS1","GFRA1",8.26173746938844e-05,0.402865222658706,4.1
"44","RET","GFRA1",0.023922304312375,0.237949514082061,1.6
"45","RET","NOS1",1.86183420772101e-12,0.657845566571271,11.7
"46","TBX3","CHAT",0.494989078826266,0.0728534807181352,0.3
"47","TBX3","ETV1",9.23263750682907e-27,0.854480363718622,26
"48","TBX3","ETV3",0.709689091310855,0.0397816378932458,0.1
"49","TBX3","GAL",1.38872549209394e-14,0.701296261232102,13.9
"50","TBX3","GFRA1",0.000629991187264287,0.353557243584533,3.2
"51","TBX3","NOS1",1.65671217014805e-11,0.635851544257007,10.8
"52","TBX3","RET",4.97833779906627e-32,0.891610513933863,31.3
"53","TBX3","VIP",2.14271390920356e-13,0.67794386127948,12.7
"54","VIP","GFRA1",0.00722304148189344,0.281357838208079,2.1
"55","VIP","NOS1",1.69036694243979e-28,0.868046162422707,27.8
"56","VIP","RET",7.43313225456617e-16,0.724015598227677,15.1
"57","ZFHX4","CASZ1",0.00298235524824462,-0.309615944297056,2.5
"58","ZFHX4","CHAT",0.145245122527705,0.154768807771322,0.8
"59","ZFHX4","ETV1",4.48407156550671e-12,0.649215347587961,11.3
"60","ZFHX4","ETV3",0.297964092785526,0.11092246672352,0.5
"61","ZFHX4","GAL",0.0014931367779363,0.329964784836193,2.8
"62","ZFHX4","GFRA1",0.00383831829556775,0.301831697048491,2.4
"63","ZFHX4","NOS1",0.00166427585013524,0.326863500645698,2.8
"64","ZFHX4","RET",2.54577328110316e-11,0.631312510994288,10.6
"65","ZFHX4","TBX3",4.40847236241125e-18,0.759013033675647,17.4
"66","ZFHX4","VIP",3.97717415387687e-07,0.504501911857198,6.4
