"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",1.38609771863541e-06,0.73866668117676,5.9
"2","BNC2","CHAT",0.950741863082936,0.0241913260218473,0
"3","BNC2","ETV1",0.0384778475116755,-0.299733504343425,1.4
"4","BNC2","ETV3",0.0224804678202169,0.565331963992424,1.6
"5","BNC2","GAL",0.00142621545271864,-0.443201838567568,2.8
"6","BNC2","GFRA1",0.62356678555856,0.0743095998459479,0.2
"7","BNC2","NOS1",0.205249410797277,-0.21316328251419,0.7
"8","BNC2","RET",0.00457794823545839,-0.429065820132364,2.3
"9","BNC2","TBX3",0.91360925914957,-0.0155764890674997,0
"10","BNC2","VIP",0.000761631809075838,-0.499329132852383,3.1
"11","BNC2","ZFHX4",0.0334285712929254,0.345854499003264,1.5
"12","CASZ1","CHAT",0.000559008359015616,0.938350995767426,3.3
"13","CASZ1","ETV1",0.683922602856714,-0.0789543692316542,0.2
"14","CASZ1","ETV3",0.396596339254863,0.269693727623287,0.4
"15","CASZ1","GAL",0.892156993416624,0.0258467386598464,0
"16","CASZ1","GFRA1",0.320567671397265,0.184443384951316,0.5
"17","CASZ1","NOS1",0.00430858370428546,0.514367413984292,2.4
"18","CASZ1","RET",0.590441941991044,0.102351020074005,0.2
"19","CASZ1","TBX3",0.0892658348404567,-0.315669015186483,1
"20","CASZ1","VIP",0.763036193445107,-0.0585122471899631,0.1
"21","CHAT","GAL",0.895104757034104,0.0516047162646037,0
"22","CHAT","GFRA1",0.993784803135569,0.00331479594265263,0
"23","CHAT","NOS1",0.459312708358622,0.30713504135859,0.3
"24","CHAT","RET",0.629444385727266,0.187284241882095,0.2
"25","CHAT","VIP",0.7295610928806,0.146308617461664,0.1
"26","ETV1","CHAT",0.258059371390694,0.454362833761561,0.6
"27","ETV1","GAL",4.32492266355103e-14,0.788921168822533,13.4
"28","ETV1","GFRA1",0.00362983029059911,0.366922131499139,2.4
"29","ETV1","NOS1",0.000107317512945732,0.52991248441726,4
"30","ETV1","RET",3.99791893774347e-09,0.704287126198316,8.4
"31","ETV1","VIP",4.3855953111193e-13,0.78176202877328,12.4
"32","ETV3","CHAT",0.133223802427639,0.978183357617492,0.9
"33","ETV3","ETV1",0.608123933855746,0.125698870832588,0.2
"34","ETV3","GAL",0.276671138942851,0.271023312366,0.6
"35","ETV3","GFRA1",0.342907826259343,0.223779219325578,0.5
"36","ETV3","NOS1",0.000168595857502961,0.859064834696549,3.8
"37","ETV3","RET",0.75042395268626,0.086378164166213,0.1
"38","ETV3","VIP",0.409872567102902,-0.213838307430934,0.4
"39","GAL","GFRA1",0.0277772147140425,0.286564158924131,1.6
"40","GAL","NOS1",0.0175351208400838,0.341469266818951,1.8
"41","GAL","RET",9.52158445568879e-09,0.692031579475575,8
"42","GAL","VIP",1.16727272841407e-09,0.688898660122888,8.9
"43","NOS1","GFRA1",5.05839069504322e-08,0.692169441109104,7.3
"44","RET","GFRA1",5.86047949198324e-05,0.532071808165462,4.2
"45","RET","NOS1",2.72038424259614e-06,0.647287837566028,5.6
"46","TBX3","CHAT",0.149292827232635,0.559518975714818,0.8
"47","TBX3","ETV1",3.80716983539316e-07,0.585179566092537,6.4
"48","TBX3","ETV3",0.95971965279761,0.0124302378401792,0
"49","TBX3","GAL",3.42711993384856e-06,0.547472845686717,5.5
"50","TBX3","GFRA1",0.0067539401277904,0.335337205191213,2.2
"51","TBX3","NOS1",0.0569932339813803,0.276630841369624,1.2
"52","TBX3","RET",0.000123666591466652,0.503010498425068,3.9
"53","TBX3","VIP",1.93185843311606e-07,0.617156831215977,6.7
"54","VIP","GFRA1",0.0177053173312857,0.31044328879941,1.8
"55","VIP","NOS1",0.115794539360732,0.237754932402176,0.9
"56","VIP","RET",3.42330173667998e-05,0.555519709446109,4.5
"57","ZFHX4","CASZ1",0.801642213999629,-0.049713801342797,0.1
"58","ZFHX4","CHAT",0.267755520122095,0.446226503836564,0.6
"59","ZFHX4","ETV1",0.413875380153036,0.127860517701319,0.4
"60","ZFHX4","ETV3",0.00180790452148612,0.698670582327053,2.7
"61","ZFHX4","GAL",0.40313677336529,0.132429533427682,0.4
"62","ZFHX4","GFRA1",1.22457793013833e-06,0.635391052842986,5.9
"63","ZFHX4","NOS1",0.00672746629458924,0.437817225613838,2.2
"64","ZFHX4","RET",0.213889405817627,0.203561081743764,0.7
"65","ZFHX4","TBX3",0.0264844701517962,0.32712144470997,1.6
"66","ZFHX4","VIP",0.618371280409389,0.0801529029572074,0.2
