"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",2.28773190152728e-11,0.223245630125039,10.6
"2","BNC2","CHAT",0.2047228982124,0.0428658680401816,0.7
"3","BNC2","ETV1",2.39851035081162e-36,-0.407155050087266,35.6
"4","BNC2","ETV3",0.570937169202042,-0.0191607190842301,0.2
"5","BNC2","GAL",5.25125027736286e-25,-0.338872296437111,24.3
"6","BNC2","GFRA1",1.89923623360584e-15,-0.263978447221665,14.7
"7","BNC2","NOS1",1.5949473376725e-18,-0.29056560883807,17.8
"8","BNC2","RET",6.84189445789317e-18,-0.285329626725887,17.2
"9","BNC2","TBX3",3.89441101633119e-27,-0.353016783934378,26.4
"10","BNC2","VIP",2.61806388965319e-23,-0.327048850378583,22.6
"11","BNC2","ZFHX4",0.231958481765709,0.0404045390363417,0.6
"12","CASZ1","CHAT",0.229744407288151,0.0405966614048216,0.6
"13","CASZ1","ETV1",7.08633245570423e-10,-0.206201737169743,9.1
"14","CASZ1","ETV3",0.368703681063085,-0.0303901716603677,0.4
"15","CASZ1","GAL",6.19978750483444e-08,-0.181520401313318,7.2
"16","CASZ1","GFRA1",1.23327663749666e-05,-0.147025914341758,4.9
"17","CASZ1","NOS1",0.000276791027149318,-0.122494603749231,3.6
"18","CASZ1","RET",0.020843129362579,-0.0780229481379033,1.7
"19","CASZ1","TBX3",4.67793362133494e-07,-0.169170805340256,6.3
"20","CASZ1","VIP",2.21685820065339e-06,-0.159016721345637,5.7
"21","CHAT","GAL",0.0219708711798502,-0.0773516164785249,1.7
"22","CHAT","GFRA1",0.265287215462862,-0.0376568410476698,0.6
"23","CHAT","NOS1",0.321289847393212,-0.0335294742336174,0.5
"24","CHAT","RET",0.416826376869479,-0.0274512325503863,0.4
"25","CHAT","VIP",0.271089574648932,-0.0372033597449952,0.6
"26","ETV1","CHAT",0.0992392934978771,-0.0557038925109382,1
"27","ETV1","GAL",1.92539128965816e-96,0.625605492355504,95.7
"28","ETV1","GFRA1",5.08334239102965e-23,0.324989453746674,22.3
"29","ETV1","NOS1",1.15208622540601e-58,0.507798314894783,57.9
"30","ETV1","RET",5.84398412998072e-64,0.527439616487882,63.2
"31","ETV1","VIP",3.63420336931183e-96,0.62489953282623,95.4
"32","ETV3","CHAT",0.494256861738732,0.023111857501135,0.3
"33","ETV3","ETV1",0.560274058260598,0.0196935957750852,0.3
"34","ETV3","GAL",0.836750008183818,0.00696774723226629,0.1
"35","ETV3","GFRA1",0.972401496348625,0.00116990881226407,0
"36","ETV3","NOS1",0.299337010740213,0.035085163671884,0.5
"37","ETV3","RET",0.573461925003559,0.019035244891978,0.2
"38","ETV3","VIP",0.552912023137181,-0.0200643678777566,0.3
"39","GAL","GFRA1",1.30689383697813e-17,0.282966760715831,16.9
"40","GAL","NOS1",2.02617782986198e-32,0.385306489247286,31.7
"41","GAL","RET",3.34816884724162e-55,0.494220607872528,54.5
"42","GAL","VIP",1.90160708545318e-66,0.53624093932689,65.7
"43","NOS1","GFRA1",1.88759741453546e-21,0.313482243971634,20.7
"44","RET","GFRA1",3.56881537615457e-16,0.270522621220728,15.4
"45","RET","NOS1",8.24163877291205e-26,0.344299055579285,25.1
"46","TBX3","CHAT",0.646287312940924,0.0155180291110682,0.2
"47","TBX3","ETV1",4.28995931997333e-87,0.60062419904643,86.4
"48","TBX3","ETV3",0.64689651867568,0.0154893533308389,0.2
"49","TBX3","GAL",1.48817516486178e-55,0.495629447437294,54.8
"50","TBX3","GFRA1",6.52884790741608e-25,0.338227023944998,24.2
"51","TBX3","NOS1",7.33506066572774e-32,0.382059729756892,31.1
"52","TBX3","RET",3.20585085022242e-35,0.401055270592905,34.5
"53","TBX3","VIP",2.24412007944267e-47,0.461084158936329,46.6
"54","VIP","GFRA1",8.31980706889757e-16,0.267231932323354,15.1
"55","VIP","NOS1",9.22107950313037e-13,0.238021983041577,12
"56","VIP","RET",4.83245008089219e-37,0.410861901714776,36.3
"57","ZFHX4","CASZ1",0.342067889443187,-0.0321197017925798,0.5
"58","ZFHX4","CHAT",0.633564364034826,-0.0161195002604737,0.2
"59","ZFHX4","ETV1",0.170877683541234,-0.0462822134430772,0.8
"60","ZFHX4","ETV3",0.000637994903368684,0.115094583341055,3.2
"61","ZFHX4","GAL",0.0548374432489071,-0.0648634847474157,1.3
"62","ZFHX4","GFRA1",0.0954797561705224,0.0563321116748015,1
"63","ZFHX4","NOS1",0.510755011128578,-0.022236654451135,0.3
"64","ZFHX4","RET",0.180569441799125,-0.0452563241646125,0.7
"65","ZFHX4","TBX3",0.0087821214211245,0.0884380424070123,2.1
"66","ZFHX4","VIP",0.626702439646108,-0.016446008461484,0.2
