"","gene1","gene2","P_Value","Corr","L10p"
"1","BNC2","CASZ1",1.57490250065471e-166,0.513308847249501,165.8
"2","BNC2","CHAT",2.77574970422728e-20,0.183946406913761,19.6
"3","BNC2","ETV1",5.72397691536259e-71,-0.346955815555819,70.2
"4","BNC2","ETV3",0.0830149526153067,-0.0348437225768905,1.1
"5","BNC2","GAL",1.19954699932778e-41,-0.266889513288645,40.9
"6","BNC2","GFRA1",5.57177982350677e-72,-0.349325770734589,71.3
"7","BNC2","NOS1",6.69517675833969e-25,-0.204995195158682,24.2
"8","BNC2","RET",1.3829093196443e-54,-0.305341115804663,53.9
"9","BNC2","TBX3",1.32198751836211e-80,-0.368746088494746,79.9
"10","BNC2","VIP",7.37072673383622e-26,-0.209081995068715,25.1
"11","BNC2","ZFHX4",3.63884503606755e-23,-0.197364432949671,22.4
"12","CASZ1","CHAT",1.78127789923302e-52,0.299464604464796,51.7
"13","CASZ1","ETV1",1.81825706575864e-33,-0.238877112152114,32.7
"14","CASZ1","ETV3",0.33120585661341,-0.0195357177437775,0.5
"15","CASZ1","GAL",4.40596916134645e-37,-0.251690444603056,36.4
"16","CASZ1","GFRA1",1.00069222467246e-98,-0.405669578598165,98
"17","CASZ1","NOS1",6.5915604137111e-23,-0.196202753738641,22.2
"18","CASZ1","RET",1.74016500890856e-11,-0.134628840316224,10.8
"19","CASZ1","TBX3",1.53830981616783e-19,-0.180314053044138,18.8
"20","CASZ1","VIP",1.17256734321133e-29,-0.224497303090399,28.9
"21","CHAT","GAL",1.05537734409711e-09,-0.12220787518917,9
"22","CHAT","GFRA1",3.96643175675386e-29,-0.222418712984894,28.4
"23","CHAT","NOS1",6.04611468156547e-06,-0.0907909332932509,5.2
"24","CHAT","RET",0.0482799792224033,0.0396932840906833,1.3
"25","CHAT","VIP",9.56279957420169e-05,-0.0783248407806769,4
"26","ETV1","CHAT",0.124496779343986,-0.030880166824102,0.9
"27","ETV1","GAL",0,0.710736647141364,Inf
"28","ETV1","GFRA1",1.14914930555008e-23,0.199597718686902,22.9
"29","ETV1","NOS1",1.93931930525822e-292,0.645956204483925,291.7
"30","ETV1","RET",0,0.745823016662828,Inf
"31","ETV1","VIP",0,0.714203989723383,Inf
"32","ETV3","CHAT",0.17116711260646,0.0275102782779757,0.8
"33","ETV3","ETV1",0.0105554081118657,0.051380919743007,2
"34","ETV3","GAL",0.122605852214841,0.0310360444843523,0.9
"35","ETV3","GFRA1",0.0585858044419662,0.0380141154847577,1.2
"36","ETV3","NOS1",0.15444111412555,0.0286266589889481,0.8
"37","ETV3","RET",0.063630740217693,0.0372803846974767,1.2
"38","ETV3","VIP",0.142470970027457,0.0294833248231878,0.8
"39","GAL","GFRA1",1.16090881422107e-49,0.291407118309805,48.9
"40","GAL","NOS1",0,0.747433163693818,Inf
"41","GAL","RET",3.06116184604481e-256,0.613731865037821,255.5
"42","GAL","VIP",0,0.728050253519789,Inf
"43","NOS1","GFRA1",2.33573793088707e-43,0.27233744970733,42.6
"44","RET","GFRA1",1.68788864370048e-13,0.147406207438784,12.8
"45","RET","NOS1",1.15038391007578e-177,0.527807039370781,176.9
"46","TBX3","CHAT",0.103477250592126,0.0327296990238559,1
"47","TBX3","ETV1",0,0.67687972887387,Inf
"48","TBX3","ETV3",8.86370722851478e-05,0.0786917957414262,4.1
"49","TBX3","GAL",5.21419621997944e-162,0.507218193917188,161.3
"50","TBX3","GFRA1",1.70828632120358e-29,0.223857730827844,28.8
"51","TBX3","NOS1",4.0286411910802e-134,0.466635194961098,133.4
"52","TBX3","RET",3.1441471390538e-283,0.638113579795951,282.5
"53","TBX3","VIP",5.98518489901615e-161,0.505771909889649,160.2
"54","VIP","GFRA1",1.33896124629214e-20,0.185470284434686,19.9
"55","VIP","NOS1",0,0.681105466243113,Inf
"56","VIP","RET",2.80429315929483e-217,0.574296012443544,216.6
"57","ZFHX4","CASZ1",2.68744492561555e-10,-0.126480819656963,9.6
"58","ZFHX4","CHAT",0.0838793214014683,0.034746362156776,1.1
"59","ZFHX4","ETV1",1.03836782829366e-74,0.355620092306279,74
"60","ZFHX4","ETV3",0.0406659853204028,0.0411396806297258,1.4
"61","ZFHX4","GAL",1.89613616347192e-15,0.158793413074485,14.7
"62","ZFHX4","GFRA1",1.99658585430621e-06,0.0953654229373759,5.7
"63","ZFHX4","NOS1",1.42920919116123e-11,0.135196033055464,10.8
"64","ZFHX4","RET",1.08966207072783e-46,0.282601237995823,46
"65","ZFHX4","TBX3",5.66166008855519e-73,0.351632314589601,72.2
"66","ZFHX4","VIP",9.41771528865872e-42,0.267227816680502,41
